Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 TUMANOWICZ Witold Sławomir;2 PEJO Bartłomiej Artur;3 OSADCZY Włodzimierz;4 WIŚLIŃSKA Natalia Anna;5 CHOJNACKA Magdalena;6 TYLUS Małgorzata Aneta;7 MARCINIUK Agnieszka Monika;8 MEKLER Rafał;9 JANULEWICZ Paweł Rafał;10 KASPRZAK Krzysztof Grzegorz;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 BUJAK Zbigniew;2 PAWŁOWSKA Monika Jolanta;3 KITLIŃSKI Tomasz;4 IWUŁA Barbara Małgorzata;5 PIETRASIEWICZ Szymon Eliasz;6 BRYZEK Paulina Anna;7 WIŚNIEWSKI Krzysztof Łukasz;8 JASEK-KOSOBUCKA Justyna;9 GRZEGORCZYK Paweł Marian;10 WALASEK Marcin;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 HETMAN Krzysztof Andrzej;2 MUCHA Joanna;3 HAIDAR Riad;4 MAZUR Artur;5 LISOWSKA Bożena Grażyna;6 KARPIŃSKI Włodzimierz Witold;7 ŻMIJAN Stanisław;8 ĆWIK Sławomir;9 SZMIDT Anna;10 WRÓBLEWSKA Kornelia Konstancja;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 KRUK Elżbieta Małgorzata;2 MAZUREK Beata;3 SOLIS Tomasz Piotr;4 BARSZCZEWSKA Barbara Aldona;5 SZULOWSKI Krzysztof;6 ZAWIŚLAK Sławomir;7 STANISŁAWEK Andrzej Józef;8 REWERA Witold;9 SZAŁACHWIEJ Ewa;10 DUSZEK Marcin Kamil;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 DŁUGOSZ Magdalena Anna;2 ROCZON Mateusz Maciej;3 ZABRATAŃSKA Katarzyna Edyta;4 KACZYŃSKI Gabriel Jan;5 REBEJKO Jolanta;6 LEWANDOWSKI Marian;7 TABOR Magdalena Aleksandra;8 WARZOCHA Tomasz Piotr;9 ZELENT Magdalena;10 FURMANIAK Szymon;Razem;Lista nr 6 - KWW KUKIZ'15;1 SACHAJKO Jarosław;2 GOGÓŁKA Robert Mirosław;3 BERECKA Barbara;4 KUNC Joanna;5 MARKIEWICZ Jarosław Szczepan;6 WSZELAKA Małgorzata Anna;7 WIELICZKO Mariusz;8 KOZIOŁ Zdzisława Konstancja;9 ORDECKI Piotr;10 WILBIK Marek;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 WOCH Marek Marian;2 FUTERA Joanna Monika;3 MAZUR Agnieszka Monika;4 SOWA Justyna;5 SZWAJEWSKA Małgorzata Anna;6 ZIĘTEK Maria;7 PIETROSIŃSKI Marcin Jakub;8 IWANIAK Paweł;9 ZIELIŃSKI Piotr;10 POPIELEC Przemysław;Razem;Lista nr 8 - KW RUCH PRAWDZIWA EUROPA-EUROPA CHRISTI;1 PIOTROWSKI Mirosław Mariusz;2 GRĄDZIEL ZAWADA Elżbieta;3 MERKUN Sławomir Grzegorz;4 DUDZIŃSKA Jolanta Grażyna;5 KUBALA Paweł;Razem
060101;11;miasto;zakład leczniczy;Szpital Powiatowy w Międzyrzecu Podlaskim, ul. Warszawska 2 - 4, 21-560 Międzyrzec Podlaski;m. Międzyrzec Podlaski;bialski;lubelskie;40;69;69;0;0;40;40;0;0;0;0;0;0;0;0;0;0;40;0;0;40;1;0;1;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;2;0;0;0;1;0;0;1;5;33;10;7;2;2;0;0;0;0;2;10;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060102;1;miasto;stały;Zespół Szkół Publicznych Nr 1, ul. H. Sienkiewicza 27, 21-550 Terespol;m. Terespol;bialski;lubelskie;1360;1775;1775;0;561;799;799;0;2;3;0;0;0;0;0;0;0;799;0;0;799;10;8;1;1;789;27;17;1;1;0;0;0;1;0;1;6;27;21;15;4;0;0;0;2;0;0;0;0;21;357;41;47;214;3;2;1;39;0;0;10;357;344;69;167;2;57;3;1;2;0;3;40;344;4;3;1;0;0;0;0;0;0;0;0;4;26;15;0;0;2;1;2;0;2;0;4;26;10;2;0;0;8;0;0;0;0;0;0;10;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060102;2;miasto;stały;Miejska Biblioteka Publiczna, ul. Wojska Polskiego 132, 21-550 Terespol;m. Terespol;bialski;lubelskie;1095;1421;1421;0;471;624;624;0;1;1;1;1;1;0;0;0;0;624;0;0;624;11;8;3;0;613;27;22;1;2;1;0;0;0;0;0;1;27;13;8;3;0;0;0;0;1;0;1;0;13;240;26;65;127;2;1;0;13;0;2;4;240;290;70;132;3;59;2;1;1;0;1;21;290;8;6;0;0;1;0;0;0;0;0;1;8;16;7;3;2;2;1;0;1;0;0;0;16;19;3;1;0;15;0;0;0;0;0;0;19;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060102;3;miasto;stały;Szkoła Podstawowa Nr 2, ul. Wojska Polskiego 88, 21-550 Terespol;m. Terespol;bialski;lubelskie;1048;1373;1373;0;380;668;668;0;0;7;0;0;0;0;0;0;0;668;0;0;668;7;6;0;1;661;31;20;3;0;1;0;0;2;1;0;4;31;15;11;1;1;0;0;0;0;1;0;1;15;226;31;45;121;1;0;3;19;0;0;6;226;338;70;173;4;49;1;2;0;5;2;32;338;2;1;0;1;0;0;0;0;0;0;0;2;25;13;7;1;1;0;0;1;0;0;2;25;24;2;0;0;21;0;0;0;0;0;1;24;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060103;1;wieś;stały;Publiczne Gimnazjum w Ciciborze Dużym, Cicibór Duży 1A, 21-500 Biała Podlaska;gm. Biała Podlaska;bialski;lubelskie;486;614;614;0;245;241;241;0;0;0;0;0;0;0;0;0;0;241;0;0;241;3;2;0;1;238;13;5;3;0;1;0;1;2;0;0;1;13;10;8;0;0;1;1;0;0;0;0;0;10;70;13;9;47;1;0;0;0;0;0;0;70;132;44;60;1;9;1;1;0;0;0;16;132;2;0;0;0;0;0;0;0;0;1;1;2;6;5;1;0;0;0;0;0;0;0;0;6;5;1;0;0;2;0;1;0;1;0;0;5;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060103;2;wieś;stały;Szkoła Podstawowa w Hrudzie, Hrud 33, 21-500 Biała Podlaska;gm. Biała Podlaska;bialski;lubelskie;519;681;681;0;283;236;236;0;0;0;0;0;0;0;0;0;0;236;0;0;236;0;0;0;0;236;4;0;2;0;0;0;0;1;1;0;0;4;1;1;0;0;0;0;0;0;0;0;0;1;67;14;13;40;0;0;0;0;0;0;0;67;158;45;73;1;12;2;0;2;0;0;23;158;1;0;1;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;3;4;1;1;0;0;0;0;0;0;0;0;0;1;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060103;3;wieś;stały;Przedszkole Samorządowe w Rakowiskach, Rakowiska ul. Wspólna 74, 21-500 Biała Podlaska;gm. Biała Podlaska;bialski;lubelskie;954;1260;1260;0;283;671;671;0;0;0;0;0;0;0;0;0;0;671;0;0;671;8;6;1;1;663;50;26;7;1;1;1;2;3;3;0;6;50;13;8;1;0;1;0;2;0;0;0;1;13;299;37;37;215;0;1;0;4;0;0;5;299;262;95;86;3;23;2;1;2;0;2;48;262;5;3;1;0;0;0;0;0;1;0;0;5;28;10;2;3;0;0;0;1;0;1;11;28;6;1;2;0;0;0;0;0;1;2;0;6;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060103;4;wieś;stały;Szkoła Podstawowa w Dokudowie Pierwszym, Dokudów Pierwszy 37A, 21-500 Biała Podlaska;gm. Biała Podlaska;bialski;lubelskie;313;410;410;0;180;133;133;0;0;0;0;0;0;0;0;0;0;133;0;0;133;3;0;1;2;130;3;1;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;4;2;17;0;0;0;0;0;0;0;23;92;28;47;0;3;0;1;1;1;0;11;92;1;0;0;0;1;0;0;0;0;0;0;1;10;2;0;1;0;0;0;1;0;0;6;10;1;0;0;0;0;1;0;0;0;0;0;1;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060103;5;wieś;stały;Szkoła Podstawowa w Ortelu Książęcym Drugim, Ortel Książęcy Drugi 33, 21-500 Biała Podlaska;gm. Biała Podlaska;bialski;lubelskie;362;468;468;0;169;193;193;0;0;0;0;0;0;0;0;0;0;193;0;0;193;1;0;1;0;192;9;3;0;3;1;0;0;0;1;0;1;9;1;1;0;0;0;0;0;0;0;0;0;1;49;8;5;32;0;1;1;2;0;0;0;49;129;48;47;0;11;3;1;2;1;1;15;129;1;0;0;0;1;0;0;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
060103;6;wieś;stały;Szkoła Podstawowa w Grabanowie, Grabanów 49B, 21-500 Biała Podlaska;gm. Biała Podlaska;bialski;lubelskie;766;1002;1002;0;308;458;458;0;0;1;0;0;0;0;0;0;0;458;0;0;458;3;1;2;0;455;21;7;2;3;1;0;0;2;0;0;6;21;9;4;2;0;0;0;1;0;0;0;2;9;179;22;34;119;0;0;0;4;0;0;0;179;223;54;89;2;33;3;0;1;0;1;40;223;3;1;2;0;0;0;0;0;0;0;0;3;16;9;2;1;3;0;0;0;0;0;1;16;4;3;0;0;1;0;0;0;0;0;0;4;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX;XXXXX
