Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 WINNICKI Robert Artur;2 LISIECKI Piotr Cezary;3 MICHALEWICZ Joanna;4 STYPKA Maciej;5 MOSHECHKOVA Lilija;6 GOŁĘBIEWSKA Paulina;7 GONTARSKA Marzanna;8 WYRĘBEK Andrzej Piotr;9 KIEŁCZEWSKI Adam;10 SAWICKI Marcin;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 FALEJ Monika Walentyna;2 GROMADZKI Sławomir;3 DZIK Katarzyna Helena;4 KRUTUL Paweł;5 OLKOWSKA Małgorzata;6 AMBROZIAK Piotr Robert;7 FALKOWSKA Agnieszka;8 LEWCZUK Tomasz;9 MURAWKO Elżbieta;10 TARASIEWICZ Sława Iwona;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 FRANKOWSKI Tomasz;2 PASŁAWSKA Urszula Stefania;3 MAŃKUT Władysław;4 WOJCIECHOWSKA Anna;5 KAMIŃSKA Bożena;6 MICHALSKA Joanna Klaudia;7 NOWAK Tadeusz Zenon;8 DEN Jolanta;9 BOŁTRYK Marcin;10 PROTAS Jacek;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 KARSKI Karol Adam;2 JURGIEL Krzysztof;3 ARENT Iwona Ewa;4 KIEROZALSKI Grzegorz;5 KARPOWICZ Joanna;6 ŻALEK Justyna Emilia;7 KOSSAKOWSKI Wojciech;8 CYMAŃSKI Tadeusz;9 ANDRUSZKIEWICZ Jolanta Wiesława;10 ŁANCZKOWSKI Romuald;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 GRUCELA Bartosz;2 ROSIŃSKA Katarzyna Ewa;3 PROKOPIUK Seweryn;4 MATUSZEWSKA-BORUC Małgorzata Emilia;5 BIRGIEL Marcin;6 BARTKOWSKA Emilia;7 GULCZYŃSKI Marcin;8 WYSOCKA Kamila Maria;9 ARTYSIEWICZ Michalina Daria;10 KOLIŃSKI Robert;Razem;Lista nr 6 - KWW KUKIZ'15;1 MACIEJEWSKI Andrzej;2 JANKOWSKA Wanda;3 REMBELSKI Stefan Bolesław;4 DYMKO Łukasz;5 ROSZIG Agnieszka;6 PŁOŃSKA Wiesława Bożenna;7 DĄBROWSKA Ewa Alicja;8 OJDANA Alina;9 JASKÓŁOWSKI Paweł;10 KOPKO Janusz;Razem
200101;11;miasto;stały;Miejska Biblioteka Publiczna w Augustowie, ul. Hoża 7, 16-300 Augustów;m. Augustów;augustowski;podlaskie;850;1117;1117;0;419;431;431;0;2;3;0;0;0;0;0;0;0;431;0;0;431;2;2;0;0;429;22;14;1;0;1;0;2;0;0;3;1;22;20;14;2;0;1;1;0;1;1;0;0;20;137;89;16;2;5;22;1;0;1;1;0;137;232;107;99;5;1;2;0;2;12;3;1;232;6;0;2;1;0;0;0;0;0;0;3;6;12;7;3;1;0;0;0;0;1;0;0;12
200101;12;miasto;stały;Szkoła Podstawowa Nr 3 w Augustowie, ul. Mickiewicza 1, 16-300 Augustów;m. Augustów;augustowski;podlaskie;951;1258;1258;0;433;518;518;0;1;4;0;0;0;0;0;0;0;518;0;0;518;2;1;1;0;516;27;20;1;1;0;0;0;0;2;1;2;27;18;6;1;3;1;1;2;2;0;1;1;18;194;100;35;3;9;45;0;1;1;0;0;194;250;141;81;4;1;7;2;1;12;0;1;250;5;2;2;0;0;0;0;1;0;0;0;5;22;14;3;1;0;1;0;0;0;1;2;22
200101;13;miasto;stały;Miejski Dom Kultury w Augustowie, ul. Rynek Zygmunta Augusta 9, 16-300 Augustów;m. Augustów;augustowski;podlaskie;448;614;614;0;199;249;249;0;1;18;0;0;0;0;0;0;0;249;0;0;249;3;2;1;0;246;5;4;0;0;0;0;0;0;0;1;0;5;19;11;3;1;1;0;1;0;0;2;0;19;96;64;12;2;3;13;0;0;2;0;0;96;121;61;42;2;0;2;1;2;7;4;0;121;1;0;0;0;0;0;0;0;1;0;0;1;4;4;0;0;0;0;0;0;0;0;0;4
200101;14;miasto;stały;Przedszkole Nr 4 w Augustowie, ul. Kilińskiego 10a, 16-300 Augustów;m. Augustów;augustowski;podlaskie;629;840;840;0;277;352;352;0;3;14;0;0;0;0;0;0;0;352;0;0;352;1;0;1;0;351;22;17;2;1;0;0;1;0;1;0;0;22;17;12;0;2;0;2;0;0;0;1;0;17;128;76;28;4;5;13;1;0;1;0;0;128;166;89;53;1;4;2;0;1;6;3;7;166;5;4;0;0;0;0;0;0;0;1;0;5;13;5;3;1;0;0;0;1;0;0;3;13
200101;15;miasto;stały;Filia Szkoły Podstawowej Nr 2 w Augustowie (byłe Gimnazjum Nr 2), ul. Nowomiejska 41, 16-300 Augustów;m. Augustów;augustowski;podlaskie;1459;1929;1929;0;644;815;815;0;1;5;0;0;0;0;0;0;0;815;0;0;815;4;3;1;0;811;34;29;2;1;0;0;0;0;0;1;1;34;22;13;3;0;0;0;0;3;1;1;1;22;246;163;28;1;2;45;1;4;0;2;0;246;462;253;150;11;6;3;5;5;15;9;5;462;12;6;2;1;0;0;0;0;2;0;1;12;35;23;0;1;4;2;1;3;0;1;0;35
200101;16;miasto;stały;Filia Szkoły Podstawowej Nr 2 w Augustowie (byłe Gimnazjum Nr 2), ul. Nowomiejska 41, 16-300 Augustów;m. Augustów;augustowski;podlaskie;1048;1383;1383;0;479;569;569;0;0;0;0;0;0;0;0;0;0;569;0;0;569;4;1;3;0;565;25;17;1;0;2;0;0;1;1;1;2;25;13;8;3;0;0;0;0;0;1;0;1;13;146;86;29;0;3;25;0;2;0;0;1;146;362;193;116;7;2;7;4;3;15;4;11;362;3;0;2;0;0;0;0;0;1;0;0;3;16;14;0;0;2;0;0;0;0;0;0;16
200101;17;miasto;stały;Przedszkole Nr 2 w Augustowie, ul. Kopernika 24, 16-300 Augustów;m. Augustów;augustowski;podlaskie;784;1025;1025;0;318;466;466;0;0;0;0;0;0;0;0;0;0;466;0;0;466;3;2;1;0;463;28;23;1;0;1;1;0;0;0;1;1;28;20;8;3;3;1;1;0;4;0;0;0;20;119;76;19;1;4;16;1;0;1;1;0;119;270;140;102;3;1;0;4;1;14;1;4;270;3;0;0;0;1;0;1;0;1;0;0;3;23;14;3;0;1;0;0;0;3;1;1;23
200101;18;miasto;stały;Szkoła Podstawowa Nr 2 w Augustowie, ul. Rajgrodzka 1, 16-300 Augustów;m. Augustów;augustowski;podlaskie;1175;1553;1553;0;547;628;628;0;0;9;0;0;0;0;0;0;0;628;0;0;628;6;2;4;0;622;28;20;0;1;0;1;0;0;0;5;1;28;27;15;2;3;3;0;1;2;0;0;1;27;190;101;45;5;6;25;2;1;2;1;2;190;344;183;120;6;2;8;2;7;10;3;3;344;2;1;1;0;0;0;0;0;0;0;0;2;31;17;3;2;0;2;4;2;0;0;1;31
200101;19;miasto;zakład leczniczy;Samodzielny Publiczny Zakład Opieki Zdrowotnej w Augustowie, ul. Szpitalna 12, 16-300 Augustów;m. Augustów;augustowski;podlaskie;150;60;60;0;126;24;24;0;0;0;0;0;0;0;0;0;0;24;0;0;24;1;0;1;0;23;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;6;4;0;0;0;2;0;0;0;0;0;6;15;9;4;0;1;0;1;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200101;20;miasto;zakład leczniczy;Podlaskie Centrum Sercowo-Naczyniowe Sp. z o. o. w Augustowie, ul. Marii Konopnickiej 11, 16-300 Augustów;m. Augustów;augustowski;podlaskie;150;56;56;0;95;55;55;0;0;4;0;0;0;0;0;0;0;55;0;0;55;0;0;0;0;55;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;17;12;4;0;0;0;1;0;0;0;0;17;30;13;8;1;0;1;1;1;3;2;0;30;0;0;0;0;0;0;0;0;0;0;0;0;6;5;1;0;0;0;0;0;0;0;0;6
