Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 MENTZEN Sławomir Jerzy;2 URBANIAK Michał Piotr;3 PRUŚ Sylwester Zbigniew;4 BREWIAK Grażyna;5 STUPKIEWICZ Magdalena;6 LIPINSKA-BEHRENDT Martyna Elżbieta;7 ŚWIECZKOWSKA Iwona Gabriela;8 KRZYWKOWSKI Marcin Piotr;9 DRANIEWICZ Karol Łukasz;10 DZIAMBOR Artur Erwin;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 MACIEJEWSKA Beata Monika;2 RUTKA Marek Andrzej;3 BIEDROŃ Adriana Maria;4 JAROSZ Maciej;5 GRACZYK Ewa Elżbieta;6 JASIONEK Henryk Jacek;7 OCHOCKA Iwona;8 BYLICA Bartosz;9 SZUBIŃSKA Bożena Leokadia;10 LAMENTOWICZ Wojciech;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 LEWANDOWSKI Janusz Antoni;2 ADAMOWICZ Magdalena;3 TRAWICKI Krzysztof Gabriel;4 JACHLEWSKA Elżbieta;5 FURGO Grzegorz Witold;6 LIEDER Ewa;7 POPOWSKA Magdalena Maria;8 PIETRZAK Anna Grażyna;9 KALINOWSKA Jolanta Maria;10 WAŁĘSA Jarosław Leszek;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 FOTYGA Anna Elżbieta;2 SELLIN Jarosław Daniel;3 SIKORA Danuta Teresa;4 MÜLLER Piotr Józef;5 SZYMAŃSKI Antoni;6 KURZELEWSKA Arleta;7 BIAŁOOKA-KOSTENECKA Danuta Jadwiga;8 RABENDA Karol Kazimierz;9 DEMSKI Patryk Jerzy;10 ŁUCZYK Mariusz Wojciech;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 GÓRSKA Anna;2 KOWALCZUK Łukasz;3 SOBAŃSKA Joanna Małgorzata;4 BONIECKI Łukasz Michał;5 HASKA Karolina;6 SZCZEPAŃSKI Adam Aleksander;7 PRUSSAK Sara Maria;8 ANDRZEJEWSKI Szymon Tomasz;9 PRUSINOWSKA Magdalena;10 LUBIEWSKI Adam Marek;Razem;Lista nr 6 - KWW KUKIZ'15;1 KOBYLARZ Andrzej Sławomir;2 BŁASZCZYK Anna;3 LUTY Jerzy;4 DUDEK Dorota;5 POMIRSKA Zofia Małgorzata;6 RODZIEWICZ-KLAWIŃSKA Jolanta Ewa;7 PIĄTKOWSKA Andżelika Ewa;8 HAMADYK Łukasz Mariusz;9 KLAWITER Jan Andrzej;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 ZBOROWSKI Maciej;2 KNUTH Maciej;3 JANOWICZ Kamila Marta;4 WIŚNIEWSKI Radosław Andrzej;5 PAWEŁCZAK Barnaba Bogusz;6 STRUK Anna Marta;7 WARDA Małgorzata Maja;8 MAKRENEK Helena Cecylia;9 DOMŻALSKA Elżbieta Maria;10 GRAJKOWSKI Piotr;Razem
220102;8;miasto;stały;Ośrodek Profilaktyki I Edukacji, ul. Miła 26, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;1184;1554;1554;0;575;609;609;0;0;3;1;1;0;0;0;0;1;610;1;0;610;7;2;5;0;603;19;11;0;3;0;0;0;0;0;1;4;19;46;22;5;10;1;2;0;4;2;0;0;46;259;66;142;3;1;2;2;1;2;0;40;259;255;160;52;15;11;9;1;0;1;2;4;255;3;2;0;0;1;0;0;0;0;0;0;3;19;8;4;2;1;0;1;0;1;2;19;2;0;0;0;0;0;0;0;0;1;1;2
220102;9;miasto;stały;Starostwo Powiatowe, ul. Ks. dr. Bolesława Domańskiego 2, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;1019;1260;1260;0;402;617;617;0;0;1;0;0;0;0;0;0;0;616;0;0;616;3;2;1;0;613;14;4;2;2;0;1;0;2;1;0;2;14;43;16;6;15;3;0;0;0;0;1;2;43;309;72;197;5;0;1;0;1;1;0;32;309;231;143;51;8;7;8;2;0;0;1;11;231;5;4;0;0;0;0;0;0;0;1;0;5;7;2;2;1;1;0;0;0;1;0;7;4;2;1;0;0;0;0;0;0;0;1;4
220102;10;miasto;stały;Szkoła Podstawowa Nr 2, ul. Ks. dr. Bolesława Domańskiego 13, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;880;1155;1155;0;307;573;573;0;0;4;0;0;0;0;0;0;0;573;0;0;573;5;3;2;0;568;15;12;2;1;0;0;0;0;0;0;0;15;33;11;4;11;1;0;0;3;0;1;2;33;265;78;153;1;1;1;2;1;0;2;26;265;236;154;46;9;8;9;0;1;3;2;4;236;7;1;0;1;0;2;0;0;0;2;1;7;6;1;1;2;0;0;1;0;0;1;6;6;1;1;1;0;0;1;0;0;1;1;6
220102;11;wieś;stały;Szkoła Podstawowa, Gostkowo 20, 77-114 Gostkowo;gm. Bytów;bytowski;pomorskie;590;783;783;0;369;221;221;0;0;0;0;0;0;0;0;0;0;221;0;0;221;3;0;3;0;218;8;5;0;1;0;1;1;0;0;0;0;8;11;3;0;7;0;1;0;0;0;0;0;11;71;20;38;0;0;0;0;0;1;0;12;71;119;80;9;5;8;4;1;0;0;1;11;119;0;0;0;0;0;0;0;0;0;0;0;0;7;4;3;0;0;0;0;0;0;0;7;2;1;0;0;1;0;0;0;0;0;0;2
220102;12;wieś;stały;Szkoła Podstawowa, ul. Gdańska 33, 77-121 Pomysk Wielki;gm. Bytów;bytowski;pomorskie;671;891;891;0;334;337;337;0;1;3;0;0;0;0;0;0;0;337;0;0;337;4;3;1;0;333;8;4;1;2;1;0;0;0;0;0;0;8;19;1;3;10;2;0;0;3;0;0;0;19;122;30;65;3;0;1;2;0;0;1;20;122;171;113;24;9;3;7;4;0;0;4;7;171;2;2;0;0;0;0;0;0;0;0;0;2;10;3;2;0;0;1;1;0;1;2;10;1;0;0;0;1;0;0;0;0;0;0;1
220102;13;wieś;stały;Szkoła Podstawowa Nr 2, ul. Ks. dr. Bolesława Domańskiego 13, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;723;955;955;0;201;522;522;0;0;1;0;0;0;0;0;0;0;522;0;0;522;4;2;2;0;518;28;18;6;0;0;1;0;0;0;1;2;28;48;18;13;12;1;0;1;2;0;1;0;48;296;100;141;1;0;1;2;0;0;0;51;296;129;75;31;7;8;1;1;0;0;1;5;129;2;2;0;0;0;0;0;0;0;0;0;2;11;6;0;0;1;0;0;0;0;4;11;4;2;0;0;0;0;1;0;0;1;0;4
220102;14;wieś;stały;Świetlica wiejska, Mądrzechowo ul. Brylantowa 6, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;471;613;613;0;203;268;268;0;0;0;0;0;0;0;0;0;0;268;0;0;268;4;4;0;0;264;8;4;0;3;0;0;0;0;0;0;1;8;17;9;1;3;1;1;0;0;0;1;1;17;111;18;75;0;0;0;0;0;1;1;16;111;114;66;16;5;6;11;1;1;0;0;8;114;1;1;0;0;0;0;0;0;0;0;0;1;6;3;0;0;0;0;0;0;0;3;6;7;3;1;0;0;0;0;0;1;1;1;7
220102;15;wieś;stały;Świetlica wiejska, Ząbinowice 19, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;240;311;311;0;104;136;136;0;0;0;0;0;0;0;0;0;0;136;0;0;136;4;2;2;0;132;5;2;0;0;0;1;0;1;0;1;0;5;14;5;0;8;0;0;0;1;0;0;0;14;42;12;17;0;0;0;0;0;0;0;13;42;68;47;11;1;3;2;0;0;0;1;3;68;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;1
220102;16;wieś;stały;Bytowskie Centrum Kultury, ul. Wojska Polskiego 12, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;440;573;573;0;224;216;216;0;0;0;0;0;0;0;0;0;0;216;0;0;216;2;1;1;0;214;8;3;2;2;0;0;0;1;0;0;0;8;22;11;1;6;3;0;0;1;0;0;0;22;103;30;51;0;0;0;0;0;1;0;21;103;73;44;4;6;5;5;0;2;0;2;5;73;3;0;1;0;0;0;2;0;0;0;0;3;5;2;0;0;1;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0
220102;17;wieś;stały;Świetlica wiejska, Udorpie 12, 77-100 Bytów;gm. Bytów;bytowski;pomorskie;610;811;811;0;274;336;336;0;0;8;0;0;0;0;0;0;0;336;0;0;336;6;5;1;0;330;15;6;6;0;0;1;0;1;0;0;1;15;22;10;4;3;1;1;0;1;0;1;1;22;137;26;89;1;0;0;1;0;0;1;19;137;145;92;25;2;5;6;2;1;0;1;11;145;0;0;0;0;0;0;0;0;0;0;0;0;10;4;5;0;0;0;1;0;0;0;10;1;1;0;0;0;0;0;0;0;0;0;1
