Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 GODEK Kaja Urszula;2 BŁASZCZYK Stefan;3 SZEWCZYK Marek Wacław;4 ZALEŚNA Katarzyna Anna;5 KORWIN-MIKKE Jacek Baltazar;6 STRUS Sylwia;7 NITECKA Ewa Alicja;8 WITASZEK Sławomir;9 DRZEWIŃSKI Piotr Michał;10 MOJZESOWICZ Wojciech;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 PIECHNA-WIĘCKIEWICZ Paulina Krystyna;2 FAJDEK Patryk;3 ŻMIJEWSKA Aleksandra Małgorzata;4 GRYCHTAL Sławomir Włodzimierz;5 ŻABICKA Monika Maria;6 KARNIEWICZ Mateusz;7 PIASECKA Anna;8 MAĆKOWIAK Patryk;9 ZIEMNICKA Małgorzata Maria;10 MARZEC Marcin;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 KALINOWSKI Jarosław;2 ROSATI Dariusz Kajetan;3 SITARSKI Ireneusz Robert;4 KALINOWSKA Katarzyna;5 WOJTUNIK Paweł;6 KUBALEWSKI Wojciech Marian;7 UCHWAŁ Aneta;8 LANC Elżbieta;9 KRASKA-ROMANOWSKA Beata;10 HIBNER Jolanta Emilia;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 BIELAN Adam Jerzy;2 KOC Maria Zofia;3 KUŹMIUK Zbigniew Krzysztof;4 MAŁECKI Maciej;5 KWIECIEŃ Anna;6 CZARTORYSKI Arkadiusz;7 WARGOCKA Teresa Anna;8 KRZĘTOWSKA Agnieszka Maria;9 ROMANOWSKI Rafał;10 OPIOŁA Marek;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 OLKO Dorota Zofia;2 DOBROWOLSKI Mateusz;3 ŻYTKOWSKA-PRUS Anna Izabela;4 PIÓROWICZ Jerzy Wojciech;5 ADAMCZYK Małgorzata Joanna;6 TRYSIŃSKI Piotr;7 KOSIEC Justyna Agnieszka;8 MATYJASZEK Artur Mariusz;9 SARNOWSKA Weronika Natalia;10 PŁATOS Sławomir;Razem;Lista nr 6 - KWW KUKIZ'15;1 HUSIEW Barbara;2 PIŁKA Marian;3 PATER Agata Bożena;4 LECHOWSKI Krzysztof Grzegorz;5 KLIMKOWSKI Sławomir;6 BORDZIO-BERUS Irena;7 FRYDRYK Jakub;8 JĘDRZEJEWSKI Robert Witold;9 POMORSKA Karolina Agnieszka;10 SANKOWSKA-GRABCZUK Lidia Izabela;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 ROSIEWICZ Andrzej Wacław;2 GAJOWNICZEK Krzysztof;3 BUDZYŃSKA Jadwiga Barbara;4 KLOCH Adam Roman;5 MARCINIAK Elżbieta;6 KŁOBUKOWSKI Paweł;7 DŁUGOŁĘCKI Mariusz;8 LENART Karolina;9 KĘPA Justyna Joanna;10 KOWALIK Rafał Grzegorz;Razem;Lista nr 10 - KW JEDNOŚĆ NARODU;1 STAROSIELEC Romuald Tadeusz;2 POŁANECKI Paweł Mieczysław;3 ŻEBROWSKA Irena Małgorzata;4 CIECHANOWICZ Jan;5 SZMIGIEL Beata;6 MACIEJEWSKI Jakub;7 MAROSZEK Adam Jarosław;8 RACZYŃSKA Jolanta;9 SZCZYPIÓR Jolanta Elżbieta;10 JANOWSKI Gabriel;Razem
140103;1;wieś;stały;Świetlica Wiejska w Radzanowie, Radzanów 25, 26-807 Radzanów;gm. Radzanów;białobrzeski;mazowieckie;1174;1665;1665;0;422;752;752;0;0;4;0;0;0;0;0;0;0;752;0;0;752;14;12;2;0;738;16;8;1;0;0;3;0;1;0;3;0;16;5;2;1;0;0;0;0;0;0;0;2;5;109;55;6;0;2;42;0;0;1;0;3;109;586;197;9;343;5;21;5;2;1;1;2;586;1;1;0;0;0;0;0;0;0;0;0;1;15;9;3;0;0;1;1;0;0;0;1;15;2;0;0;0;0;1;0;0;1;0;0;2;4;1;0;1;0;0;2;0;0;0;0;4
140103;2;wieś;stały;Świetlica Wiejska w Bukównie, Bukówno 31, 26-807 Radzanów;gm. Radzanów;białobrzeski;mazowieckie;964;1368;1368;0;330;634;634;0;0;1;0;0;0;0;0;0;0;634;0;0;634;8;2;6;0;626;6;2;0;0;0;2;0;2;0;0;0;6;9;1;1;2;0;0;2;2;0;1;0;9;84;40;4;1;2;37;0;0;0;0;0;84;492;150;8;301;11;9;5;0;1;4;3;492;3;3;0;0;0;0;0;0;0;0;0;3;28;16;6;1;2;1;0;0;0;2;0;28;3;2;1;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;1
140104;1;wieś;stały;Publiczna Szkoła Podstawowa w Starej Błotnicy, Stara Błotnica 49, 26-806 Stara Błotnica;gm. Stara Błotnica;białobrzeski;mazowieckie;1420;1874;1874;0;640;780;780;0;1;3;0;0;0;0;0;0;0;780;0;0;780;7;6;1;0;773;24;9;6;2;0;5;0;0;0;1;1;24;21;12;5;0;0;0;1;2;0;0;1;21;84;41;3;3;0;32;0;1;1;1;2;84;616;139;13;391;8;51;6;2;2;4;0;616;7;2;1;0;0;1;0;0;1;1;1;7;21;8;4;3;2;0;2;1;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140104;2;wieś;stały;Publiczna Szkoła Podstawowa w Starym Goździe, Stary Gózd 90, 26-806 Stara Błotnica;gm. Stara Błotnica;białobrzeski;mazowieckie;1441;1877;1877;0;710;731;731;0;1;1;0;0;0;0;0;0;0;731;0;0;731;13;5;8;0;718;21;14;0;2;0;5;0;0;0;0;0;21;8;1;4;0;0;2;0;1;0;0;0;8;54;28;8;0;1;16;0;0;1;0;0;54;614;147;7;369;7;66;3;4;2;7;2;614;2;0;1;0;0;0;0;1;0;0;0;2;16;6;1;1;4;0;0;1;0;3;0;16;2;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1
140104;3;wieś;stały;Publiczna Szkoła Podstawowa w Kaszowie, Kaszów 37, 26-806 Stara Błotnica;gm. Stara Błotnica;białobrzeski;mazowieckie;361;473;473;0;132;229;229;0;0;1;0;0;0;0;0;0;0;229;0;0;229;4;1;3;0;225;6;0;4;0;0;2;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;1;19;11;0;0;0;7;0;0;0;1;0;19;193;69;1;97;5;11;2;4;0;2;2;193;2;1;0;0;0;1;0;0;0;0;0;2;4;1;0;1;0;0;0;1;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140105;1;wieś;stały;Publiczna Szkoła Podstawowa w Bobrku, Bobrek-Kolonia 24, 26-804 Stromiec;gm. Stromiec;białobrzeski;mazowieckie;354;465;465;0;152;202;202;0;0;0;0;0;0;0;0;0;0;202;0;0;202;3;3;0;0;199;5;4;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;1;0;1;21;3;2;3;0;13;0;0;0;0;0;21;151;41;2;81;5;9;4;1;1;6;1;151;0;0;0;0;0;0;0;0;0;0;0;0;17;3;0;0;0;0;12;0;0;2;0;17;1;0;0;0;0;0;0;0;1;0;0;1;3;1;0;0;1;0;0;0;0;0;1;3
140105;2;wieś;stały;Publiczna Szkoła Podstawowa w Bożem, Boże 1, 26-804 Stromiec;gm. Stromiec;białobrzeski;mazowieckie;544;709;709;0;284;260;260;0;0;4;0;0;0;0;0;0;0;260;0;0;260;5;3;2;0;255;8;3;0;0;1;3;0;0;0;0;1;8;4;2;1;0;0;0;1;0;0;0;0;4;35;12;9;3;1;6;0;0;0;0;4;35;196;79;10;75;11;14;4;0;0;1;2;196;3;2;0;0;0;0;0;0;1;0;0;3;6;1;1;1;0;0;2;1;0;0;0;6;2;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;1
140105;3;wieś;stały;Świetlica Wiejska w Dobieszynie, Dobieszyn Leśna 4B, 26-804 Stromiec;gm. Stromiec;białobrzeski;mazowieckie;693;904;904;0;395;298;298;0;0;4;1;1;0;0;0;0;1;299;1;0;299;2;1;1;0;297;10;6;0;0;0;3;0;0;0;0;1;10;14;7;3;1;0;0;1;0;1;0;1;14;19;12;2;0;2;1;0;0;0;1;1;19;241;106;10;92;5;17;3;1;1;1;5;241;1;1;0;0;0;0;0;0;0;0;0;1;11;3;3;0;0;1;2;1;1;0;0;11;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
140105;4;wieś;stały;Publiczna Szkoła Podstawowa w Podlesiu Dużym, Podlesie Duże 71, 26-804 Stromiec;gm. Stromiec;białobrzeski;mazowieckie;470;611;611;0;249;221;221;0;0;1;0;0;0;0;0;0;0;221;0;0;221;3;2;1;0;218;2;1;0;1;0;0;0;0;0;0;0;2;3;1;0;1;0;0;0;0;0;0;1;3;14;9;1;1;0;1;1;0;0;0;1;14;189;65;15;77;2;21;4;1;2;2;0;189;1;0;0;0;0;1;0;0;0;0;0;1;5;1;0;0;1;0;2;1;0;0;0;5;3;2;0;0;1;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;1
140105;5;wieś;stały;Publiczna Szkoła Podstawowa w Stromcu, ul. Radomska 27, 26-804 Stromiec;gm. Stromiec;białobrzeski;mazowieckie;726;969;969;0;388;338;338;0;0;5;0;0;0;0;0;0;0;338;0;0;338;4;2;2;0;334;11;6;1;0;0;2;0;0;1;1;0;11;16;8;6;0;0;0;2;0;0;0;0;16;56;20;9;0;0;25;0;0;0;0;2;56;226;93;8;91;0;19;4;2;0;9;0;226;4;0;1;0;0;2;0;0;0;1;0;4;16;3;1;3;0;0;7;1;1;0;0;16;4;1;0;0;0;1;2;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;1
