Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 BOSAK Krzysztof;2 KULESZA Jakub;3 PAZIO Rafał Piotr;4 ROSS Sebastian;5 KRAJSKI Stanisław;6 PISKORZ Monika Beata;7 PAMIĘTA Marta;8 KRAJEWSKA Zuzanna Maria;9 KRZYSZTOFIK Joanna;10 JAKUBIAK Marek;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 BIEDROŃ Robert;2 SCHEURING-WIELGUS Joanna Izabela;3 PŁATEK Monika Stanisława;4 TRACZYK Adam Paweł;5 BUŹNIAK Sylwia Lidia;6 TARCZYŃSKA Anna Małgorzata;7 PELC Filip Tadeusz;8 KUBIAK Jacek Zbigniew;9 BRAITER Katarzyna Anna;10 GAWKOWSKI Krzysztof Kamil;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 CIMOSZEWICZ Włodzimierz;2 HALICKI Andrzej Witold;3 GASIUK-PIHOWICZ Kamila;4 HÜBNER Danuta Maria;5 BONI Michał Jan;6 ZIELIŃSKA Urszula Sara;7 PUDŁOWSKI Paweł Patryk;8 KALATA Edyta Teresa;9 BRZEZIŃSKA Anna Katarzyna;10 BARTOSZEWSKI Władysław Teofil;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 SARYUSZ-WOLSKI Jacek Emil;2 CZARNECKI Ryszard Henryk;3 RADZIWIŁŁ Konstanty;4 CZERWIŃSKA Anita;5 GRYGLAS Zbigniew;6 TOMASZEWSKA Ewa;7 SMIRNOW Andrzej;8 KALETA Sebastian Jerzy;9 CHOROSIŃSKA Dominika Małgorzata;10 WYPYCH Małgorzata Maria;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 ZANDBERG Adrian Tadeusz;2 NOSAL-IKONOWICZ Agata Alina;3 KUCZYŃSKA Urszula Teresa;4 WRÓBLEWSKI Giedymin;5 TOFIL-SŁAWUSZEWSKA Anna Maria;6 BIEJAT Magdalena Agnieszka;7 MIERZWA Michał Mikołaj;8 WICHA Joanna Beata;9 WALCZYŃSKI Hubert Michał;10 GRODZKA Anna;Razem;Lista nr 6 - KWW KUKIZ'15;1 TYSZKA Stanisław;2 RZYMKOWSKI Tomasz Piotr;3 TANAJNO Paweł Jan;4 WITKOWSKA Agata Joanna;5 GŁOWACKA Ewa Katarzyna;6 OLSZEWSKA Mariola Aneta;7 MODZELEWSKI Jarosław;8 WOJAKOWSKA Magdalena Maria;9 BORKOWSKI Łukasz Jan;10 JOŃCZYK Łukasz;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 GWIAZDOWSKI Robert Andrzej;2 CZERWIŃSKA Ewa Barbara;3 STECZOWICZ Bartłomiej Aleksander;4 ADAMKIEWICZ Marcin Piotr;5 MELAK Zofia Emilia;6 STAŃCZUK Dunia;7 MATYJASIAK Wojciech Robert;8 BEKIER Bartłomiej Maksymilian;9 SOWIŃSKA-KOBELAK Dorota;10 ŻMIJEWSKI Bogdan;Razem
141705;4;wieś;stały;Szkoła Podstwowa w Człekówce, Człekówka 62, 05-340 Kołbiel;gm. Kołbiel;otwocki;mazowieckie;748;971;971;0;262;486;486;0;0;0;0;0;0;0;0;0;0;486;0;0;486;3;3;0;0;483;16;10;1;0;0;0;0;1;0;0;4;16;12;9;2;0;0;0;1;0;0;0;0;12;89;33;11;9;15;2;2;4;2;2;9;89;328;89;106;57;39;7;11;0;11;7;1;328;1;0;0;0;0;0;0;0;0;0;1;1;31;17;0;3;2;2;4;2;0;1;0;31;6;4;0;0;0;0;1;0;0;0;1;6
141705;5;wieś;stały;Szkoła Podstawowa w Kątach, Kąty ul. Królewska 58, 05-340 Kołbiel;gm. Kołbiel;otwocki;mazowieckie;624;806;806;0;211;413;413;0;0;0;0;0;0;0;0;0;0;413;0;0;413;9;6;3;0;404;30;17;1;0;0;0;1;0;0;0;11;30;10;8;0;0;0;1;1;0;0;0;0;10;40;15;14;1;5;0;1;0;0;2;2;40;288;84;92;40;36;2;7;1;6;11;9;288;2;2;0;0;0;0;0;0;0;0;0;2;31;20;2;0;3;0;5;0;0;0;1;31;3;0;0;2;0;0;0;0;0;1;0;3
141705;6;wieś;stały;Świetlica w Sufczynie, Sufczyn 23, 05-340 Kołbiel;gm. Kołbiel;otwocki;mazowieckie;696;917;917;0;253;443;443;0;0;10;0;0;0;0;0;0;0;443;0;0;443;6;1;5;0;437;14;8;1;0;0;0;2;2;0;0;1;14;14;9;2;2;1;0;0;0;0;0;0;14;78;27;10;13;16;0;1;0;1;4;6;78;302;86;92;38;51;1;10;4;9;5;6;302;6;2;1;2;0;0;0;1;0;0;0;6;19;11;3;1;2;2;0;0;0;0;0;19;4;1;1;0;0;0;0;0;0;0;2;4
141705;7;wieś;stały;Szkoła Podstawowa w Kołbieli, Szkolna 5, 05-340 Kołbiel;gm. Kołbiel;otwocki;mazowieckie;528;686;686;0;206;322;322;0;0;2;0;0;0;0;0;0;0;322;0;0;322;1;1;0;0;321;7;4;2;0;0;0;0;0;0;0;1;7;15;9;2;0;0;0;0;0;0;0;4;15;57;30;4;9;2;1;1;1;1;2;6;57;210;62;76;18;17;2;7;2;8;8;10;210;5;4;0;0;0;0;0;0;0;1;0;5;21;14;1;1;2;0;0;1;0;0;2;21;6;2;2;1;0;0;0;0;0;0;1;6
141706;1;wieś;stały;Szkoła Podstawowa w Osiecku, ul. Warszawska 61, 08-445 Osieck;gm. Osieck;otwocki;mazowieckie;535;713;713;0;212;323;323;0;0;17;0;0;0;0;0;0;0;322;0;0;322;2;2;0;0;320;4;2;1;0;0;1;0;0;0;0;0;4;8;3;0;2;2;0;0;0;0;1;0;8;42;11;8;4;9;3;2;0;0;0;5;42;247;72;66;37;49;3;4;0;6;5;5;247;4;3;0;0;1;0;0;0;0;0;0;4;10;4;2;1;1;0;1;1;0;0;0;10;5;2;1;0;0;1;0;0;0;0;1;5
141706;2;wieś;stały;Filia Gminnej Biblioteki Publicznej w Natolinie, Natolin 40, 08-445 Osieck;gm. Osieck;otwocki;mazowieckie;291;390;390;0;108;183;183;0;0;1;0;0;0;0;0;0;0;183;0;0;183;6;3;3;0;177;10;7;0;0;1;0;0;0;0;0;2;10;2;1;1;0;0;0;0;0;0;0;0;2;16;4;3;1;8;0;0;0;0;0;0;16;137;26;62;16;18;4;4;1;1;1;4;137;1;0;1;0;0;0;0;0;0;0;0;1;9;5;1;0;0;1;1;0;0;1;0;9;2;1;0;0;0;0;0;0;0;1;0;2
141706;3;wieś;stały;Szkoła Podstawowa w Augustówce, Augustówka ul. Kolejowa 2, 08-445 Osieck;gm. Osieck;otwocki;mazowieckie;590;760;760;0;190;400;400;0;0;0;0;0;0;0;0;0;0;400;0;0;400;8;6;2;0;392;11;6;0;0;2;0;1;0;0;0;2;11;10;8;0;1;0;1;0;0;0;0;0;10;27;11;6;4;0;1;0;1;0;0;4;27;312;76;93;24;76;4;16;4;10;3;6;312;3;3;0;0;0;0;0;0;0;0;0;3;25;14;1;1;3;2;2;1;0;0;1;25;4;0;1;0;1;1;0;0;0;1;0;4
141706;4;wieś;stały;Szkoła Podstawowa w Osiecku, Warszawska 61, 08-445 Osieck;gm. Osieck;otwocki;mazowieckie;791;1022;1022;0;335;456;456;0;0;9;0;0;0;0;0;0;0;456;0;0;456;2;0;2;0;454;22;12;2;1;1;1;0;0;0;1;4;22;12;7;1;4;0;0;0;0;0;0;0;12;95;47;12;8;13;0;2;1;2;2;8;95;285;102;78;27;50;7;4;2;5;5;5;285;2;1;0;0;0;0;0;1;0;0;0;2;34;16;11;1;0;2;1;0;0;1;2;34;4;2;1;1;0;0;0;0;0;0;0;4
141707;1;wieś;stały;Publiczna Szkoła Podstawowa w Sobieniach-Jeziorach, Garwolińska 14, 08-443 Sobienie-Jeziory;gm. Sobienie-Jeziory;otwocki;mazowieckie;883;1143;1143;0;340;543;543;0;1;0;0;0;0;0;0;0;0;543;0;0;543;7;5;2;0;536;15;8;1;1;0;1;0;0;1;0;3;15;28;24;1;1;0;0;1;0;0;0;1;28;148;55;39;18;15;2;2;1;1;1;14;148;287;89;99;29;30;5;15;0;8;9;3;287;7;5;0;0;0;0;2;0;0;0;0;7;43;19;2;6;2;6;5;0;0;1;2;43;8;7;1;0;0;0;0;0;0;0;0;8
141707;2;wieś;stały;Świetlica Wiejska w Sobieniach-Jeziorach, Duży Rynek 25, 08-443 Sobienie-Jeziory;gm. Sobienie-Jeziory;otwocki;mazowieckie;837;1059;1059;0;340;497;497;0;0;8;0;0;0;0;0;0;0;497;0;0;497;3;2;1;0;494;14;10;1;1;0;0;0;0;1;0;1;14;17;11;2;2;0;2;0;0;0;0;0;17;131;64;15;20;14;2;1;1;1;2;11;131;309;78;113;37;43;9;3;1;12;8;5;309;1;0;0;1;0;0;0;0;0;0;0;1;19;11;3;0;0;3;0;1;0;0;1;19;3;1;1;0;0;1;0;0;0;0;0;3
141707;3;wieś;stały;Publiczna Szkoła Podstawowa w Siedzowie, Siedzów 30A, 08-443 Sobienie-Jeziory;gm. Sobienie-Jeziory;otwocki;mazowieckie;471;618;618;0;200;271;271;0;0;3;0;0;0;0;0;0;0;271;0;0;271;2;1;1;0;269;8;4;1;0;0;0;0;0;1;0;2;8;11;7;1;1;0;0;0;0;0;2;0;11;74;25;14;12;10;1;3;0;0;0;9;74;151;49;49;16;15;1;3;4;3;2;9;151;3;2;0;0;0;1;0;0;0;0;0;3;19;15;2;1;0;0;0;1;0;0;0;19;3;0;2;0;0;0;1;0;0;0;0;3
141707;4;wieś;stały;Publiczna Szkoła Podstawowa w Starym Zambrzykowie, Stary Zambrzyków 59, 08-443 Sobienie-Jeziory;gm. Sobienie-Jeziory;otwocki;mazowieckie;538;700;700;0;253;285;285;0;0;0;0;0;0;0;0;0;0;285;0;0;285;4;3;1;0;281;11;8;0;0;0;0;0;0;0;0;3;11;8;7;0;0;0;0;0;0;1;0;0;8;51;14;14;5;8;3;1;0;1;1;4;51;186;65;60;13;21;3;9;1;7;5;2;186;4;3;0;0;0;0;0;0;0;0;1;4;19;10;2;1;1;1;1;1;0;2;0;19;2;2;0;0;0;0;0;0;0;0;0;2
141707;5;wieś;stały;Publiczna Szkoła Podstawowa w Warszawicach, Warszawice 13, 08-443 Sobienie-Jeziory;gm. Sobienie-Jeziory;otwocki;mazowieckie;1189;1553;1553;0;429;760;760;0;1;3;0;0;0;0;0;0;0;760;0;0;760;12;10;2;0;748;31;20;3;0;1;4;1;0;0;1;1;31;36;29;1;3;1;0;0;0;0;1;1;36;136;48;20;13;21;3;3;1;2;3;22;136;485;129;171;39;88;4;8;4;20;9;13;485;6;3;2;0;1;0;0;0;0;0;0;6;43;26;1;0;1;5;1;0;4;3;2;43;11;8;2;0;0;1;0;0;0;0;0;11
141708;1;wieś;stały;Szkoła Podstawowa w Zakręcie, Zakręt ul. Szkolna 11, 05-077 Warszawa-Wesoła;gm. Wiązowna;otwocki;mazowieckie;696;909;908;1;188;508;507;1;0;3;0;0;0;0;0;0;0;508;0;0;508;2;2;0;0;506;30;19;3;4;0;1;0;0;0;0;3;30;33;27;1;4;0;0;0;1;0;0;0;33;183;53;30;28;44;8;1;2;3;5;9;183;227;76;88;22;9;3;3;1;4;8;13;227;7;6;0;0;0;0;0;1;0;0;0;7;15;9;0;2;0;1;3;0;0;0;0;15;11;5;0;1;1;0;0;0;0;2;2;11
141708;2;wieś;stały;Świetlica w Duchnowie, Duchnów ul. Wspólna 157, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;567;724;724;0;191;376;376;0;0;2;0;0;0;0;0;0;0;376;0;0;376;2;1;1;0;374;20;6;4;3;0;0;2;0;0;0;5;20;29;24;4;1;0;0;0;0;0;0;0;29;102;39;8;14;31;2;2;0;1;1;4;102;183;55;62;22;9;5;5;1;7;12;5;183;7;5;1;1;0;0;0;0;0;0;0;7;31;18;0;1;4;1;1;4;0;0;2;31;2;0;0;1;1;0;0;0;0;0;0;2
141708;3;wieś;stały;Szkoła Podstawowa w Wiązownie-świetlica szkolna, ul. Kościelna 20, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;637;839;839;0;109;528;528;0;0;8;0;0;0;0;0;0;0;528;0;0;528;6;4;2;0;522;29;21;3;0;0;1;0;1;0;0;3;29;57;42;7;6;0;0;1;0;0;1;0;57;211;61;22;35;42;9;5;3;1;5;28;211;180;75;59;12;11;2;4;2;4;8;3;180;3;1;1;0;0;1;0;0;0;0;0;3;25;14;2;3;3;1;0;0;1;0;1;25;17;11;1;0;0;0;0;2;0;2;1;17
141708;4;wieś;stały;Gminny Ośrodek Kultury w Wiązownie, ul. Kościelna 41, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;772;1000;1000;0;122;650;650;0;0;3;0;0;0;0;0;0;0;650;0;0;650;4;3;1;0;646;44;26;7;1;0;0;0;0;0;0;10;44;51;41;6;4;0;0;0;0;0;0;0;51;249;70;27;39;62;16;7;2;1;7;18;249;255;88;73;34;7;8;11;3;9;16;6;255;5;5;0;0;0;0;0;0;0;0;0;5;37;21;6;0;3;0;2;0;1;2;2;37;5;3;0;0;0;0;1;0;0;0;1;5
141708;5;wieś;stały;Przedszkole w Pęclinie, Pęclin ul. Radosna 74, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;456;593;593;0;200;256;256;0;0;0;0;0;0;0;0;0;0;256;0;0;256;5;1;4;0;251;16;10;0;1;0;2;0;1;0;0;2;16;17;10;4;1;0;0;1;0;0;0;1;17;75;15;13;16;17;3;0;0;1;0;10;75;127;25;55;12;6;3;1;1;6;14;4;127;2;2;0;0;0;0;0;0;0;0;0;2;11;9;0;0;1;0;0;0;0;1;0;11;3;2;0;0;0;0;0;0;0;0;1;3
141708;6;wieś;stały;Szkoła Podstawowa w Gliniance-sala gimnastyczna, ul. Napoleońska 1, 05-408 Glinianka;gm. Wiązowna;otwocki;mazowieckie;646;844;844;0;208;438;438;0;0;4;0;0;0;0;0;0;0;438;0;1;437;5;3;2;0;432;22;9;3;1;1;0;1;0;0;1;6;22;33;28;4;0;0;0;0;0;0;0;1;33;102;44;17;8;12;6;1;2;1;1;10;102;245;58;99;31;14;0;8;3;3;22;7;245;10;4;2;2;0;0;0;0;0;2;0;10;13;9;1;0;0;3;0;0;0;0;0;13;7;5;1;0;0;0;0;0;0;0;1;7
141708;7;wieś;stały;Szkoła Podstawowa w Gliniance-sala lekcyjna, ul. Napoleońska 1, 05-408 Glinianka;gm. Wiązowna;otwocki;mazowieckie;557;715;715;0;222;335;335;0;0;2;0;0;0;0;0;0;0;335;0;0;335;3;2;1;0;332;7;6;1;0;0;0;0;0;0;0;0;7;14;11;2;1;0;0;0;0;0;0;0;14;53;29;5;10;2;0;0;0;2;1;4;53;226;47;85;21;18;11;9;2;6;22;5;226;5;4;0;0;0;0;1;0;0;0;0;5;21;15;1;0;0;0;1;2;1;1;0;21;6;4;1;0;0;0;0;0;0;0;1;6
141708;8;wieś;stały;Szkoła Podstawowa w Wiązownie-mała sala gimnastyczna, ul. Kościelna 20, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;857;1114;1110;4;265;592;588;4;0;4;0;0;0;0;0;0;0;592;0;0;592;4;3;1;0;588;31;18;1;1;0;2;0;1;0;0;8;31;31;27;0;2;0;1;0;0;1;0;0;31;221;79;40;35;42;8;3;0;2;0;12;221;261;84;85;24;16;11;6;0;16;16;3;261;4;3;0;0;0;0;0;0;0;0;1;4;29;13;3;3;1;0;1;4;2;1;1;29;11;5;2;0;1;1;1;0;0;1;0;11
141708;9;wieś;stały;Szkoła Podstawowa w Malcanowie, Malcanów ul. Mazowiecka 55, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;560;732;732;0;131;429;429;0;0;4;0;0;0;0;0;0;0;429;0;0;429;3;2;1;0;426;25;15;1;0;0;6;0;0;0;0;3;25;28;22;2;0;2;1;1;0;0;0;0;28;161;57;16;22;47;11;1;1;1;0;5;161;163;51;64;12;11;2;1;1;5;14;2;163;5;5;0;0;0;0;0;0;0;0;0;5;37;21;5;0;3;2;0;1;0;0;5;37;7;4;0;0;0;1;1;0;0;1;0;7
141708;10;wieś;stały;Dom Kultury Nad Świdrem, Wola Karczewska ul. Doliny Świdra 6, 05-408 Glinianka;gm. Wiązowna;otwocki;mazowieckie;459;588;588;0;135;324;324;0;0;0;0;0;0;0;0;0;0;324;0;0;324;1;1;0;0;323;19;8;2;1;0;5;0;0;0;0;3;19;16;11;2;3;0;0;0;0;0;0;0;16;55;17;8;8;10;2;1;2;1;2;4;55;204;74;61;17;17;2;6;1;8;10;8;204;1;0;0;0;0;0;0;0;0;0;1;1;24;14;2;0;3;3;1;0;0;0;1;24;4;1;2;0;0;0;0;0;0;0;1;4
141708;11;wieś;stały;Świetlica w Majdanie, Majdan ul. Klubowa 8, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;473;630;630;0;139;334;334;0;0;7;0;0;0;0;0;0;0;334;0;0;334;3;2;1;0;331;14;4;2;2;0;0;1;0;0;0;5;14;32;25;4;1;0;0;0;1;0;1;0;32;109;51;13;17;17;3;3;0;1;0;4;109;155;55;54;11;13;1;5;2;4;7;3;155;4;3;0;0;0;0;1;0;0;0;0;4;14;12;0;0;0;0;0;0;0;1;1;14;3;2;0;0;0;0;0;0;1;0;0;3
141708;12;wieś;stały;Świetlica w Izabeli, Izabela ul. Postępu 23, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;287;366;366;0;47;240;240;0;0;8;0;0;0;0;0;0;0;240;0;0;240;0;0;0;0;240;2;1;0;1;0;0;0;0;0;0;0;2;19;12;1;3;0;0;1;0;1;0;1;19;120;50;19;16;25;2;2;1;0;1;4;120;77;28;24;7;6;0;3;0;5;3;1;77;0;0;0;0;0;0;0;0;0;0;0;0;17;9;3;1;2;1;0;0;0;0;1;17;5;3;2;0;0;0;0;0;0;0;0;5
141708;13;wieś;stały;Świetlica w Stefanówce, Stefanówka ul. Sowia 8, 05-462 Wiązowna;gm. Wiązowna;otwocki;mazowieckie;438;565;565;0;113;325;325;0;0;4;0;0;0;0;0;0;0;325;0;0;325;3;2;1;0;322;18;9;0;2;0;1;0;0;0;0;6;18;42;30;2;8;0;1;0;0;0;1;0;42;127;40;16;13;36;11;1;0;0;0;10;127;113;42;38;6;9;0;1;1;5;8;3;113;3;2;0;0;0;0;0;0;1;0;0;3;15;6;0;3;2;0;2;0;0;0;2;15;4;2;0;0;0;1;1;0;0;0;0;4
141801;1;wieś;stały;Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu w Czersku, Czersk ul. Warszawska 17, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;622;823;823;0;225;397;397;0;2;2;0;0;0;0;0;0;0;397;0;0;397;5;3;2;0;392;17;11;0;0;0;1;0;0;0;0;5;17;40;26;1;10;0;0;0;1;0;0;2;40;147;54;24;22;28;5;4;4;0;0;6;147;145;63;36;20;9;0;4;0;6;7;0;145;3;1;0;1;0;0;0;0;1;0;0;3;29;24;0;1;0;1;1;0;0;0;2;29;11;7;1;0;0;1;1;0;0;1;0;11
141801;2;wieś;stały;Szkoła Podstawowa im. Władysława Reymonta w Coniewie, Coniew 28, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;1002;1310;1310;0;480;522;522;0;0;2;0;0;0;0;0;0;0;522;0;0;522;7;5;2;0;515;37;18;4;0;0;1;1;1;1;0;11;37;30;25;1;2;0;0;0;1;0;1;0;30;148;52;24;20;15;3;4;0;1;2;27;148;263;97;100;12;13;4;4;2;9;20;2;263;5;1;2;1;0;0;0;0;0;0;1;5;20;11;2;1;0;1;2;0;0;2;1;20;12;3;1;2;1;0;2;0;0;1;2;12
141801;3;wieś;stały;Szkoła Podstawowa im. Kazimierza Górskiego w Czaplinku, Czaplinek ul. Szkolna 5, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;628;820;820;0;335;293;293;0;0;0;0;0;0;0;0;0;0;293;0;0;293;3;2;1;0;290;8;4;0;1;0;1;0;0;0;1;1;8;18;14;1;1;2;0;0;0;0;0;0;18;78;33;8;17;6;3;2;3;1;2;3;78;171;74;68;7;9;1;3;1;5;3;0;171;0;0;0;0;0;0;0;0;0;0;0;0;10;9;1;0;0;0;0;0;0;0;0;10;5;1;2;1;0;1;0;0;0;0;0;5
141801;4;wieś;stały;Szkoła Podstawowa im. Księdza Jana Twardowskiego w Czachówku, Czachówek ul. Główna 56, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;755;990;990;0;245;510;510;0;0;0;0;0;0;0;0;0;0;510;0;0;510;3;3;0;0;507;24;9;4;1;3;0;1;1;1;0;4;24;26;16;5;3;0;1;0;0;0;0;1;26;203;79;32;30;38;4;4;4;0;1;11;203;217;85;73;22;8;2;3;1;8;10;5;217;7;3;0;1;0;1;0;0;1;1;0;7;21;13;1;2;0;2;1;0;1;1;0;21;9;4;2;0;0;1;0;1;0;1;0;9
141801;5;wieś;stały;Szkoła Podstawowa im. Feliksa Kapackiego w Cendrowicach, Cendrowice ul. Szkolna 4, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;800;1044;1044;0;344;456;456;0;0;2;0;0;0;0;0;0;0;456;0;0;456;2;1;1;0;454;27;18;2;0;0;0;2;0;0;0;5;27;31;24;5;2;0;0;0;0;0;0;0;31;112;39;14;17;19;5;2;2;2;2;10;112;242;93;89;19;10;3;2;5;2;12;7;242;9;8;0;0;0;0;0;0;0;1;0;9;23;16;2;0;1;2;1;1;0;0;0;23;10;2;1;0;1;1;0;4;0;0;1;10
141801;6;wieś;stały;Szkoła Podstawowa im. Kard. Stefana Wyszyńskiego w Dobieszu, Dobiesz ul. Wolska 36, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;610;801;800;1;217;393;392;1;0;5;0;0;0;0;0;0;0;393;0;0;393;3;0;3;0;390;27;20;1;0;0;0;0;0;0;0;6;27;28;21;2;4;0;1;0;0;0;0;0;28;122;42;22;14;28;2;1;2;4;0;7;122;187;104;42;9;6;1;6;3;7;4;5;187;3;3;0;0;0;0;0;0;0;0;0;3;18;12;1;0;3;0;1;1;0;0;0;18;5;3;1;0;0;0;1;0;0;0;0;5
141801;7;wieś;stały;Szkoła Podstawowa w Baniosze, ul. Szkolna 1, 05-532 Baniocha;gm. Góra Kalwaria;piaseczyński;mazowieckie;2180;2880;2880;0;913;1266;1266;0;0;12;0;0;0;0;0;0;0;1267;0;0;1267;11;7;4;0;1256;48;30;2;1;1;1;0;4;1;0;8;48;92;68;12;7;2;1;1;0;0;1;0;92;455;141;110;72;82;10;6;9;0;2;23;455;559;223;185;36;20;8;6;8;15;45;13;559;10;10;0;0;0;0;0;0;0;0;0;10;75;42;11;2;5;1;2;2;3;1;6;75;17;8;1;1;0;3;1;1;0;1;1;17
141801;8;wieś;stały;Szkoła Podstawowa im. Błogosławionego Ojca St. Papczyńskiego w Kątach, Kąty ul. Puławska 4, 05-532 Baniocha;gm. Góra Kalwaria;piaseczyński;mazowieckie;1020;1333;1332;1;383;637;636;1;0;0;0;0;0;0;0;0;0;637;0;0;637;4;3;1;0;633;16;8;0;3;1;1;0;0;0;0;3;16;42;28;4;8;1;0;0;0;0;0;1;42;255;94;44;41;51;10;1;2;1;3;8;255;251;100;81;31;12;2;6;0;4;10;5;251;17;10;1;5;0;0;0;1;0;0;0;17;35;22;3;1;2;1;2;1;0;2;1;35;17;10;3;1;0;1;0;0;1;1;0;17
141801;9;wieś;stały;Szkoła Podstawowa im. Orła Białego w Brześcach, Brześce ul. Wilanowska 55, 05-520 Konstancin Jeziorna;gm. Góra Kalwaria;piaseczyński;mazowieckie;939;1222;1222;0;376;563;563;0;0;6;0;0;0;0;0;0;0;563;0;0;563;8;5;3;0;555;31;24;2;0;0;0;0;0;0;0;5;31;45;33;2;5;0;0;0;3;0;0;2;45;167;57;26;33;21;6;3;5;4;1;11;167;272;95;110;15;14;3;5;1;6;17;6;272;5;4;0;0;0;0;0;0;0;0;1;5;24;12;2;5;0;2;1;1;0;1;0;24;11;7;0;1;3;0;0;0;0;0;0;11
141801;10;miasto;stały;Zespół Szkół Zawodowych im. Marsz. Franciszka Bielińskiego w Górze Kalwarii, ul. Budowlanych 14, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;1418;1845;1845;0;467;951;951;0;0;0;0;0;0;0;0;0;0;951;0;0;951;7;4;3;0;944;37;16;0;3;1;1;1;0;0;1;14;37;87;62;10;10;1;2;1;0;1;0;0;87;302;116;60;53;40;9;3;2;5;0;14;302;430;195;126;25;16;5;5;2;15;30;11;430;10;7;0;0;0;0;0;0;1;0;2;10;60;33;8;1;6;4;0;1;1;0;6;60;18;8;1;0;0;1;1;0;3;2;2;18
141801;11;miasto;stały;Przedszkole Samorządowe Nr 1 w Górze Kalwarii, ul. Księdza Zygmunta Sajny 18, 05-530 Góra Kalwaria;gm. Góra Kalwaria;piaseczyński;mazowieckie;1178;1547;1547;0;397;781;781;0;1;0;0;0;0;0;0;0;0;781;0;0;781;8;8;0;0;773;51;34;5;0;1;0;1;0;0;2;8;51;54;40;11;2;1;0;0;0;0;0;0;54;296;124;60;40;42;7;5;2;3;0;13;296;312;110;118;22;14;2;7;4;10;15;10;312;11;11;0;0;0;0;0;0;0;0;0;11;38;30;2;3;0;0;1;0;1;0;1;38;11;6;1;1;0;1;1;1;0;0;0;11
