Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 BOSAK Krzysztof;2 KULESZA Jakub;3 PAZIO Rafał Piotr;4 ROSS Sebastian;5 KRAJSKI Stanisław;6 PISKORZ Monika Beata;7 PAMIĘTA Marta;8 KRAJEWSKA Zuzanna Maria;9 KRZYSZTOFIK Joanna;10 JAKUBIAK Marek;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 BIEDROŃ Robert;2 SCHEURING-WIELGUS Joanna Izabela;3 PŁATEK Monika Stanisława;4 TRACZYK Adam Paweł;5 BUŹNIAK Sylwia Lidia;6 TARCZYŃSKA Anna Małgorzata;7 PELC Filip Tadeusz;8 KUBIAK Jacek Zbigniew;9 BRAITER Katarzyna Anna;10 GAWKOWSKI Krzysztof Kamil;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 CIMOSZEWICZ Włodzimierz;2 HALICKI Andrzej Witold;3 GASIUK-PIHOWICZ Kamila;4 HÜBNER Danuta Maria;5 BONI Michał Jan;6 ZIELIŃSKA Urszula Sara;7 PUDŁOWSKI Paweł Patryk;8 KALATA Edyta Teresa;9 BRZEZIŃSKA Anna Katarzyna;10 BARTOSZEWSKI Władysław Teofil;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 SARYUSZ-WOLSKI Jacek Emil;2 CZARNECKI Ryszard Henryk;3 RADZIWIŁŁ Konstanty;4 CZERWIŃSKA Anita;5 GRYGLAS Zbigniew;6 TOMASZEWSKA Ewa;7 SMIRNOW Andrzej;8 KALETA Sebastian Jerzy;9 CHOROSIŃSKA Dominika Małgorzata;10 WYPYCH Małgorzata Maria;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 ZANDBERG Adrian Tadeusz;2 NOSAL-IKONOWICZ Agata Alina;3 KUCZYŃSKA Urszula Teresa;4 WRÓBLEWSKI Giedymin;5 TOFIL-SŁAWUSZEWSKA Anna Maria;6 BIEJAT Magdalena Agnieszka;7 MIERZWA Michał Mikołaj;8 WICHA Joanna Beata;9 WALCZYŃSKI Hubert Michał;10 GRODZKA Anna;Razem;Lista nr 6 - KWW KUKIZ'15;1 TYSZKA Stanisław;2 RZYMKOWSKI Tomasz Piotr;3 TANAJNO Paweł Jan;4 WITKOWSKA Agata Joanna;5 GŁOWACKA Ewa Katarzyna;6 OLSZEWSKA Mariola Aneta;7 MODZELEWSKI Jarosław;8 WOJAKOWSKA Magdalena Maria;9 BORKOWSKI Łukasz Jan;10 JOŃCZYK Łukasz;Razem;Lista nr 7 - KWW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI;1 GWIAZDOWSKI Robert Andrzej;2 CZERWIŃSKA Ewa Barbara;3 STECZOWICZ Bartłomiej Aleksander;4 ADAMKIEWICZ Marcin Piotr;5 MELAK Zofia Emilia;6 STAŃCZUK Dunia;7 MATYJASIAK Wojciech Robert;8 BEKIER Bartłomiej Maksymilian;9 SOWIŃSKA-KOBELAK Dorota;10 ŻMIJEWSKI Bogdan;Razem
140503;2;wieś;stały;Gminne Przedszkole w Cegłowie, Cegłów 22B, 96-314 Baranów;gm. Baranów;grodziski;mazowieckie;455;590;590;0;173;282;282;0;0;3;0;0;0;0;0;0;0;282;0;0;282;1;1;0;0;281;13;9;1;0;0;0;0;0;0;0;3;13;19;15;0;1;2;1;0;0;0;0;0;19;51;19;10;4;11;2;0;2;0;1;2;51;176;51;83;11;11;2;3;3;2;8;2;176;3;1;0;0;0;0;0;0;1;0;1;3;16;5;1;1;1;1;1;1;1;3;1;16;3;1;0;0;0;0;1;0;1;0;0;3
140503;3;wieś;stały;Szkoła Podstawowa w Bożej Woli, Boża Wola 1 Maja 13, 96-314 Baranów;gm. Baranów;grodziski;mazowieckie;619;829;829;0;199;420;420;0;0;7;0;0;0;0;0;0;0;420;0;0;420;1;0;1;0;419;28;18;3;0;0;0;0;0;0;0;7;28;32;27;1;2;1;0;0;0;0;0;1;32;113;46;14;22;11;3;4;2;1;2;8;113;222;79;70;11;32;4;2;0;7;13;4;222;6;3;1;0;0;0;0;1;0;0;1;6;18;12;1;0;3;0;0;1;0;1;0;18;0;0;0;0;0;0;0;0;0;0;0;0
140503;4;wieś;stały;Szkoła Podstawowa w Kaskach, Kaski Królewska 23, 96-314 Baranów;gm. Baranów;grodziski;mazowieckie;1060;1387;1387;0;502;558;558;0;0;1;0;0;0;0;0;0;0;558;0;0;558;5;3;2;0;553;30;15;0;0;1;3;0;0;0;0;11;30;38;32;2;0;2;1;1;0;0;0;0;38;119;53;22;15;19;2;2;0;1;0;5;119;319;91;137;24;22;9;9;4;10;8;5;319;3;1;1;0;0;0;0;0;0;0;1;3;39;20;7;1;3;2;0;3;1;1;1;39;5;2;3;0;0;0;0;0;0;0;0;5
140504;1;miasto;stały;Szkoła Podstawowa Nr 4, ul. Zielony Rynek 2, 05-825 Grodzisk Mazowiecki;gm. Grodzisk Mazowiecki;grodziski;mazowieckie;989;1294;1294;0;369;620;620;0;0;5;0;0;0;0;0;0;0;620;0;0;620;8;8;0;0;612;26;18;4;0;1;0;0;1;0;0;2;26;57;33;10;7;1;2;0;0;2;1;1;57;210;73;31;42;36;7;4;0;6;1;10;210;277;99;103;23;14;7;12;3;4;8;4;277;5;5;0;0;0;0;0;0;0;0;0;5;26;16;4;0;2;3;0;0;0;0;1;26;11;10;1;0;0;0;0;0;0;0;0;11
140504;2;miasto;stały;Szkoła Podstawowa Nr 4, Grodzisk Mazowiecki, Łąki ul. Zielony Rynek 2, 05-825 Grodzisk Mazowiecki;gm. Grodzisk Mazowiecki;grodziski;mazowieckie;1001;1334;1333;1;387;614;614;0;0;3;0;0;0;0;0;0;0;614;0;0;614;7;2;5;0;607;34;18;3;1;1;0;2;0;0;0;9;34;48;36;4;3;0;3;2;0;0;0;0;48;227;83;39;28;46;9;2;1;0;1;18;227;249;99;94;18;7;4;4;2;6;12;3;249;5;4;0;1;0;0;0;0;0;0;0;5;30;17;6;0;1;0;0;1;0;3;2;30;14;7;0;1;0;1;0;3;0;1;1;14
140504;3;miasto;stały;Centrum Kultury, wejścia A, ul. Spółdzielcza 9, 05-825 Grodzisk Mazowiecki;gm. Grodzisk Mazowiecki;grodziski;mazowieckie;1398;1821;1821;0;453;945;945;0;0;7;0;0;0;0;0;0;0;945;0;0;945;4;3;1;0;941;56;30;1;0;0;10;2;2;1;0;10;56;99;68;13;10;1;0;3;0;0;2;2;99;385;150;54;50;71;20;4;7;1;3;25;385;342;102;120;43;14;9;8;3;9;21;13;342;7;4;1;1;0;0;1;0;0;0;0;7;39;29;2;1;2;0;3;1;0;0;1;39;13;9;3;1;0;0;0;0;0;0;0;13
140504;4;miasto;stały;Szkoła Podstawowa Nr 5, ul. L. Zondka 6, 05-825 Grodzisk Mazowiecki;gm. Grodzisk Mazowiecki;grodziski;mazowieckie;967;1271;1271;0;363;604;604;0;1;8;0;0;0;0;0;0;0;604;0;0;604;2;1;1;0;602;26;17;1;0;1;0;0;0;1;0;6;26;63;50;7;4;1;1;0;0;0;0;0;63;223;86;30;33;47;6;4;1;1;3;12;223;245;81;93;35;7;3;10;1;2;7;6;245;14;8;2;2;1;0;0;0;0;0;1;14;20;17;0;0;2;0;0;0;0;0;1;20;11;5;2;0;1;0;1;0;0;0;2;11
140504;5;miasto;stały;Zespół Szkół nr 2, ul. Kilińskiego 8c, 05-825 Grodzisk Mazowiecki;gm. Grodzisk Mazowiecki;grodziski;mazowieckie;956;1254;1254;0;293;663;663;0;1;5;0;0;0;0;0;0;0;663;0;0;663;6;3;3;0;657;18;9;1;2;1;0;0;0;1;0;4;18;45;30;5;4;0;2;0;0;1;2;1;45;270;112;48;21;44;11;0;5;2;0;27;270;275;103;89;18;6;6;9;7;15;16;6;275;11;9;1;0;0;0;0;0;0;0;1;11;29;20;1;1;2;1;0;2;2;0;0;29;9;4;1;1;1;0;0;0;0;0;2;9
140504;6;miasto;stały;ZGM, ul. Sportowa 29, 05-825 Grodzisk Mazowiecki;gm. Grodzisk Mazowiecki;grodziski;mazowieckie;1165;1541;1541;0;396;769;769;0;1;1;0;0;0;0;0;0;0;769;0;0;769;2;1;1;0;767;38;29;1;0;0;0;1;1;0;1;5;38;72;58;6;6;0;0;1;0;0;0;1;72;278;106;60;41;37;7;7;0;2;5;13;278;319;119;126;24;12;7;2;2;10;10;7;319;11;7;0;1;1;0;0;0;1;1;0;11;36;28;0;1;5;0;0;0;0;2;0;36;13;7;2;0;2;0;2;0;0;0;0;13
140504;7;miasto;stały;Szkoła Podstawowa nr 1, ul. Bartniaka 13a, 05-825 Grodzisk Mazowiecki;gm. Grodzisk Mazowiecki;grodziski;mazowieckie;1027;1351;1351;0;375;652;652;0;0;1;0;0;0;0;0;0;0;652;0;0;652;6;4;2;0;646;31;24;2;0;0;1;0;0;2;0;2;31;52;42;6;3;0;0;0;0;0;0;1;52;280;107;50;26;61;11;3;1;2;2;17;280;243;99;87;22;7;4;6;0;9;6;3;243;9;7;1;0;0;1;0;0;0;0;0;9;23;20;2;0;0;1;0;0;0;0;0;23;8;6;0;0;0;0;0;1;0;0;1;8
