Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 BRAUN Grzegorz Michał;2 BUCZEK Tomasz Wojciech;3 BAŃKA Damian;4 WOLSKA Violetta Katarzyna;5 SOWIŃSKI Wiesław Mieczysław;6 ZAJĄC Monika Magdalena;7 KARDASIŃSKA Marzena;8 PROĆ Tomasz Mirosław;9 ZAPAŁOWSKI Andrzej Tomasz;10 KORWIN-MIKKE Dominika Maria;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 SKIBA Anna Agnieszka;2 JURZYSTA Marcin;3 OLEKSAK Tomasz Robert;4 KWOLEK Katarzyna;5 KRUKAR Radosław Zbigniew;6 GRYCH-BOCHYŃSKA Urszula;7 FIC Patryk Beniamin;8 PROKOPSKA Joanna Maria;9 TERESZKIEWICZ Grzegorz Piotr;10 SKRZYSIŃSKI Gniewomir Marek;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 SIEKIERSKI Czesław Adam;2 SKOWROŃSKA Krystyna;3 USTROBIŃSKI Marek Jerzy;4 JÓZEFOWICZ Maciej Piotr;5 FRYDRYCH Joanna Zofia;6 BUTRYN Renata Celina;7 RZĄSA Marek Zdzisław;8 SZKOŁA Józef;9 ZYCH Barbara;10 ŁUKACIJEWSKA Elżbieta Katarzyna;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 PORĘBA Tomasz Piotr;2 RZOŃCA Bogdan Józef;3 LENIART Ewa Maria;4 PILCH Piotr;5 WRÓBLEWSKA Krystyna Małgorzata;6 GOŁOJUCH Kazimierz Edward;7 PAMUŁA Teresa;8 KRUCZEK Stanisław;9 KUROWSKA Maria Stanisława;10 SAGATOWSKA Janina Zofia;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 WISZ Elżbieta Anna;2 PRENETA Paweł Krzysztof;3 ITNER Agnieszka;4 JASIŃSKI Krzysztof;5 OŻÓG Barbara Katarzyna;6 PACIOCH Hubert Piotr;7 JAKOWICKA Zuzanna Katarzyna;8 GAWRON Jakub;9 RŻANY Monika;10 TUROŃ Arkadiusz;Razem;Lista nr 6 - KWW KUKIZ'15;1 BOBOLA Alicja Maria;2 MASŁOWSKI Maciej Przemysław;3 HELNARSKI Paweł Andrzej;4 BARSZCZAK Bartłomiej Mariusz;5 BIALIC Dariusz Mieczysław;6 NYCZ Ewelina Magdalena;7 SABAT Joanna Karolina;8 WIKTOR Szczepan Antoni;9 KUCAB Konrad Tomasz;10 TARGAŃSKA Magdalena Ewa;Razem;Lista nr 9 - KKW POLEXIT - KOALICJA;1 RYKAŁA Grzegorz Wojciech;2 ŻÓŁTEK Monika Anna;3 KOTYLAK Piotr Jan;4 MICHNO Aneta Joanna;5 CZARNEK Marcin Piotr;6 WIESZCZEK Magdalena;7 DŁUGOSZ Michał Wojciech;8 SZATAN Magdalena Maria;Razem
180108;3;miasto;stały;Świetlica Nadleśnictwa Ustrzyki Dolne, ul. Rynek 6, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;759;995;995;0;388;371;371;0;0;0;0;0;0;0;0;0;0;371;0;0;371;6;3;3;0;365;44;14;1;0;1;27;0;0;0;0;1;44;14;8;0;0;1;0;2;1;0;0;2;14;135;38;15;13;0;5;2;3;0;0;59;135;158;49;89;5;1;1;1;4;2;4;2;158;2;1;1;0;0;0;0;0;0;0;0;2;10;3;1;3;0;0;2;0;1;0;0;10;2;2;0;0;0;0;0;0;0;2
180108;4;miasto;stały;Szkoła Podstawowa Nr 2, ul. Dobra 6, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;790;1022;1022;0;325;465;465;0;0;2;0;0;0;0;0;0;0;465;0;0;465;6;3;3;0;459;30;10;0;1;0;18;0;0;0;0;1;30;16;8;1;0;5;0;0;0;0;1;1;16;186;53;22;8;1;3;0;3;0;1;95;186;217;84;93;14;4;0;1;1;13;4;3;217;1;1;0;0;0;0;0;0;0;0;0;1;8;2;3;2;0;0;1;0;0;0;0;8;1;0;0;0;0;0;1;0;0;1
180108;5;miasto;stały;Wspólnota Mieszkaniowa Prochatka 3, ul. Łukasiewicza 6 (świetlica), 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;720;943;942;1;331;389;389;0;0;1;0;0;0;0;0;0;0;389;0;0;389;6;3;3;0;383;36;12;3;0;0;20;0;0;0;1;0;36;29;24;0;1;2;0;0;0;2;0;0;29;143;45;15;9;4;5;2;4;1;3;55;143;161;46;94;4;3;1;1;0;7;4;1;161;3;1;0;0;1;1;0;0;0;0;0;3;11;7;0;1;0;0;2;0;1;0;0;11;0;0;0;0;0;0;0;0;0;0
180108;6;miasto;stały;"Zespół Basenów ""Delfin"", ul. Witolda Gombrowicza 49, 38-700 Ustrzyki Dolne";gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;550;713;713;0;288;262;262;0;1;4;0;0;0;0;0;0;0;262;0;0;262;1;1;0;0;261;23;3;0;2;0;17;1;0;0;0;0;23;12;8;0;1;1;1;0;0;0;0;1;12;86;27;3;10;1;3;2;5;0;2;33;86;136;59;51;6;5;3;2;3;5;2;0;136;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;1;0;1;0;4;0;0;0;0;0;0;0;0;0;0
180108;7;miasto;stały;Żłobek Miejski, Pionierska 8, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;932;1224;1224;0;390;542;542;0;5;5;0;0;0;0;0;0;0;542;0;0;542;4;1;3;0;538;45;8;0;0;0;37;0;0;0;0;0;45;23;14;4;2;2;0;0;0;0;1;0;23;220;68;20;13;3;6;1;7;0;2;100;220;226;86;95;13;5;0;4;3;15;3;2;226;7;5;0;0;2;0;0;0;0;0;0;7;16;10;2;1;0;1;1;1;0;0;0;16;1;1;0;0;0;0;0;0;0;1
180108;8;miasto;stały;Bieszczadzki Zespół Placówek Szkolno-Wychowawczych, W. Gombrowicza 37, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;640;838;838;0;357;283;283;0;0;0;0;0;0;0;0;0;0;283;0;0;283;0;0;0;0;283;23;8;1;0;2;12;0;0;0;0;0;23;11;3;2;0;2;0;2;0;0;0;2;11;82;20;11;7;1;0;0;1;1;3;38;82;160;56;81;9;5;3;1;1;1;2;1;160;2;0;0;0;1;1;0;0;0;0;0;2;5;3;1;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0
180108;9;wieś;stały;Szkoła Podstawowa w Łobozewie Dolnym, Łobozew Dolny 61A, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;490;655;655;0;288;202;202;0;0;0;0;0;0;0;0;0;0;202;0;0;202;3;3;0;0;199;11;9;0;0;0;2;0;0;0;0;0;11;8;3;1;0;3;0;0;0;1;0;0;8;47;16;4;2;0;0;0;3;0;0;22;47;126;47;63;10;1;1;0;0;2;2;0;126;5;0;0;0;1;3;0;0;1;0;0;5;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
180108;10;wieś;stały;Szkoła Podstawowa w Ustjanowej Górnej, Ustjanowa Górna 84, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;662;872;872;0;351;311;311;0;0;0;0;0;0;0;0;0;0;311;0;0;311;0;0;0;0;311;19;3;1;0;0;15;0;0;0;0;0;19;8;7;0;0;0;0;0;1;0;0;0;8;70;21;5;4;0;4;1;1;0;0;34;70;200;49;109;5;6;4;2;9;12;1;3;200;2;0;1;0;0;1;0;0;0;0;0;2;11;5;1;0;0;3;0;1;0;0;1;11;1;0;0;0;0;1;0;0;0;1
180108;11;wieś;stały;Świetlica wiejska w Równi, Równia 51 B, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;410;529;529;0;216;194;194;0;0;0;0;0;0;0;0;0;0;194;0;0;194;0;0;0;0;194;13;4;0;0;1;8;0;0;0;0;0;13;3;3;0;0;0;0;0;0;0;0;0;3;45;9;5;3;2;0;1;0;0;0;25;45;123;33;64;10;5;1;0;4;1;4;1;123;2;0;0;0;1;0;0;0;1;0;0;2;8;4;1;1;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0
180108;12;wieś;stały;Świetlica wiejska w Bandrowie Narodowym, Bandrów Narodowy 52, 38-700 Ustrzyki Dolne;gm. Ustrzyki Dolne;bieszczadzki;podkarpackie;270;347;347;0;174;96;96;0;0;0;0;0;0;0;0;0;0;96;0;0;96;1;1;0;0;95;7;2;0;0;0;5;0;0;0;0;0;7;6;1;0;1;2;0;0;1;0;1;0;6;18;8;0;0;0;0;1;1;1;0;7;18;55;13;32;5;1;2;0;2;0;0;0;55;1;0;0;0;0;1;0;0;0;0;0;1;7;3;2;1;0;0;1;0;0;0;0;7;1;0;0;0;0;1;0;0;0;1
