Kod terytorialny gminy;Nr obwodu głosowania;Typ obszaru;Typ obwodu;Siedziba Obwodowej Komisji Wyborczej;Gmina;Powiat;Województwo;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;w tym umieszczonych w części A spisu wyborców;w tym umieszczonych w części B spisu wyborców;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;w tym w części A spisu wyborców;w tym w części B spisu wyborców;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;w tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów;w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;Lista nr 1 - KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY;1 UTECHT Waldemar Arkadiusz;2 GIEROWSKI Rafał;3 GRABARCZYK Tomasz Michał;4 WALCZAK Izabela Anna;5 LIPCZYK Zbigniew Jerzy;6 KORWIN-MIKKE Anna;7 MAZUR Joanna Sylwia;8 HEINZEL Alicja Anna;9 BARTOSIAK Tomasz;10 MARJAN Patryk Piotr;Razem;Lista nr 2 - KW WIOSNA ROBERTA BIEDRONIA;1 SOWIŃSKA Anita Katarzyna;2 IDZIKOWSKI Wiktor;3 GILL-PIĄTEK Hanna Beata;4 KNAPIK Aleksandra Alicja;5 SOKOŁOWICZ Mariusz Paweł;6 DE LAZARI-RADEK Katarzyna Anna;7 HAJNCEL Paweł Wojciech;8 ŻURAW Elżbieta Małgorzata;9 PIETRZAK Michał Damian;10 WAWRYKA Dawid;Razem;Lista nr 3 - KKW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI;1 BELKA Marek Marian;2 BEJDA Paweł Jan;3 SKRZYDLEWSKA Joanna Katarzyna;4 GAŁKIEWICZ Magdalena Anna;5 STASIAK Aleksandra Małgorzata;6 GOŁASZEWSKI Marcin Łukasz;7 RUTKOWSKA Dorota;8 STASIAK Marta Katarzyna;9 MATUSIAK Karolina Daria;10 STĘPIEŃ Witold Heronim;Razem;Lista nr 4 - KW PRAWO I SPRAWIEDLIWOŚĆ;1 WASZCZYKOWSKI Witold Jan;2 KOPCIŃSKA Joanna Maria;3 KRUPA Urszula Irena;4 DRÓŻDŻ Beata Zofia;5 WOJCIECHOWSKI Grzegorz Michał;6 SAGAN Marlena Barbara;7 RUDALSKI Wojciech Bogdan;8 SZYMCZYK Krzysztof Feliks;9 ANTCZAK Alicja Elżbieta;10 MATEUSIAK-PIELUCHA Beata Anna;Razem;Lista nr 5 - KKW LEWICA RAZEM - RAZEM, UNIA PRACY, RSS;1 IKONOWICZ Piotr Igor;2 KRYSIAK Wioleta Magdalena;3 SIKORA Anna Iwona;4 GANICZ Tomasz;5 PANAK Marta;6 SULKA Monika Zofia;7 RACHALEWSKI Michał Cezary;8 URBAŃCZYK Martyna Natalia;9 MIRYS Mateusz Piotr;Razem;Lista nr 6 - KWW KUKIZ'15;1 APEL Piotr Daniel;2 JĘDRASIK Krzysztof Piotr;3 WYCHOWAŁEK Paweł;4 WALCZAK Joanna Izabela;5 GŁOWACKI Tomasz Bogdan;6 NOWICKA Jolanta Maria;7 DRAB Maksymilian Hubert;8 AUGUŚCIK Jagoda;9 KULESZKA Agata;10 PAŚNICKI Michał Wiktor;Razem
100101;11;miasto;stały;Przedszkole Samorządowe Nr 2, ul. Paderewskiego 3, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1209;1525;1525;0;658;551;551;0;0;1;0;0;0;0;0;0;0;551;0;0;551;3;0;3;0;548;40;1;0;1;0;1;1;1;1;0;34;40;24;13;2;1;1;2;1;0;0;0;4;24;170;119;5;34;1;2;0;1;3;1;4;170;282;104;92;11;20;8;3;3;3;6;32;282;11;9;1;0;1;0;0;0;0;0;11;21;14;1;1;0;3;1;1;0;0;0;21
100101;12;miasto;stały;Szkoła Podstawowa Nr 13, ul. Słowackiego 8, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1289;1645;1645;0;491;798;798;0;0;1;0;0;0;0;0;0;0;798;0;0;798;5;1;4;0;793;77;6;2;3;1;1;3;1;0;0;60;77;38;23;3;1;1;2;2;1;3;0;2;38;220;129;11;70;0;2;3;1;1;1;2;220;398;152;138;14;22;22;3;4;4;6;33;398;24;18;1;2;0;1;0;0;2;0;24;36;22;3;0;4;3;1;0;1;1;1;36
100101;13;miasto;stały;Szkoła Podstawowa Nr 13, ul. Słowackiego 8, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1340;1718;1718;0;434;906;906;0;0;1;0;0;0;0;0;0;0;905;0;0;905;3;3;0;0;902;78;6;2;1;0;0;2;0;0;0;67;78;44;27;1;0;6;1;1;1;3;1;3;44;296;190;13;74;3;0;3;2;3;4;4;296;427;164;136;18;35;18;10;1;2;6;37;427;15;11;0;1;1;0;0;0;0;2;15;42;23;3;1;3;4;2;2;2;2;0;42
100101;14;miasto;stały;Szkoła Podstawowa Nr 5, ul. Szkolna 10, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1369;1769;1769;0;459;910;910;0;1;5;0;0;0;0;0;0;0;909;0;0;909;4;3;1;0;905;73;6;1;3;5;0;1;2;1;0;54;73;22;15;3;0;1;0;1;1;0;0;1;22;163;86;12;53;0;1;2;3;0;4;2;163;605;237;225;9;57;23;11;1;6;7;29;605;13;8;3;0;0;1;0;0;1;0;13;29;11;1;2;5;3;2;2;0;1;2;29
100101;15;miasto;stały;Przedszkole Samorządowe nr 6, ul. W. Budryka 12, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1270;1626;1626;0;541;729;729;0;0;0;0;0;0;0;0;0;0;729;0;0;729;5;3;2;0;724;87;8;2;0;1;0;3;2;0;0;71;87;32;12;3;1;4;1;2;2;2;3;2;32;155;95;9;36;3;0;1;3;0;5;3;155;394;161;137;7;30;19;6;0;2;5;27;394;8;5;2;0;0;0;0;0;0;1;8;48;17;6;5;3;3;4;2;1;3;4;48
100101;16;miasto;stały;Szkoła Podstawowa Nr 12, ul. W. Budryka 7, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1238;1556;1556;0;511;727;727;0;0;1;0;0;0;0;0;0;0;727;0;0;727;3;0;3;0;724;56;4;2;0;1;0;0;0;0;0;49;56;32;18;4;1;1;1;1;1;1;1;3;32;161;113;5;34;3;3;0;1;1;0;1;161;433;172;144;15;28;19;10;5;3;2;35;433;9;4;3;1;0;0;0;0;0;1;9;33;15;5;3;4;0;0;1;0;0;5;33
100101;17;miasto;stały;Szkoła Podstawowa Nr 12, ul. W. Budryka 7, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1268;1612;1612;0;418;850;850;0;0;4;0;0;0;0;0;0;0;850;0;0;850;6;3;3;0;844;94;11;5;5;4;0;3;2;0;1;63;94;38;21;2;1;6;1;1;0;4;0;2;38;282;175;18;75;0;1;4;4;0;3;2;282;361;163;114;13;24;17;4;1;1;2;22;361;25;19;4;1;0;0;1;0;0;0;25;44;20;7;3;6;4;1;1;0;1;1;44
100101;18;miasto;stały;Szkoła Podstawowa Nr 1, ul. Dąbrowskiego 11, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1515;1926;1926;0;548;967;967;0;0;7;0;0;0;0;0;0;0;967;0;0;967;6;1;5;0;961;81;8;1;1;3;1;0;3;3;0;61;81;54;31;8;1;6;1;0;2;0;0;5;54;294;209;18;54;3;2;0;5;0;2;1;294;482;194;177;12;42;15;5;2;3;2;30;482;17;11;4;1;0;0;0;1;0;0;17;33;17;4;2;3;1;3;1;0;1;1;33
100101;19;miasto;stały;Szkoła Podstawowa Nr 1, ul. Dąbrowskiego 11, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1490;1909;1909;0;603;887;887;0;0;0;0;0;0;0;0;0;0;887;0;0;887;9;5;4;0;878;59;3;3;0;2;1;1;0;1;0;48;59;40;17;2;0;5;4;2;0;3;1;6;40;230;151;13;50;1;2;2;3;1;1;6;230;506;177;199;11;31;27;8;0;5;9;39;506;18;14;2;1;0;0;1;0;0;0;18;25;13;1;0;5;0;0;0;2;1;3;25
100101;20;miasto;stały;Szkoła Podstawowa Nr 1, ul. Dąbrowskiego 11, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1440;1816;1816;0;512;928;928;0;0;5;0;0;0;0;0;0;0;928;0;0;928;7;4;3;0;921;76;6;2;1;1;0;2;1;2;0;61;76;40;26;3;0;3;2;1;0;4;1;0;40;225;157;12;41;2;1;0;1;5;4;2;225;523;214;193;10;44;21;5;3;4;7;22;523;23;14;1;2;0;1;2;1;1;1;23;34;17;2;1;4;1;3;0;5;0;1;34
100101;21;miasto;stały;Szkoła Podstawowa Nr 3, ul. Sienkiewicza 25, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1678;2171;2171;0;546;1132;1132;0;0;5;0;0;0;0;0;0;0;1132;0;0;1132;9;7;2;0;1123;89;11;1;0;2;1;4;2;1;0;67;89;50;31;7;0;5;0;2;1;3;1;0;50;342;211;21;96;1;3;3;3;2;1;1;342;581;197;242;11;36;27;11;2;7;2;46;581;23;17;1;0;1;4;0;0;0;0;23;38;17;3;2;5;1;1;2;1;4;2;38
100101;22;miasto;stały;Szkoła Podstawowa Nr 3, ul. Sienkiewicza 25, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1550;1973;1973;0;641;909;909;0;2;2;0;0;0;0;0;0;0;909;0;0;909;6;5;1;0;903;64;4;0;4;1;0;1;1;0;0;53;64;43;26;5;1;2;6;0;0;2;0;1;43;248;172;9;46;9;2;3;2;0;2;3;248;502;211;191;12;25;13;11;2;5;1;31;502;20;16;3;1;0;0;0;0;0;0;20;26;12;3;1;1;4;3;1;0;1;0;26
100101;23;miasto;stały;Urząd Miasta Bełchatowa, ul. Czyżewskiego 7, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1620;2075;2075;0;663;957;957;0;1;7;0;0;0;0;0;0;0;957;0;0;957;9;5;4;0;948;52;1;0;2;0;0;2;0;1;1;45;52;51;31;5;4;4;2;2;0;2;0;1;51;252;166;6;62;2;6;1;2;1;4;2;252;530;220;177;8;22;33;8;2;1;7;52;530;14;7;4;2;0;0;0;1;0;0;14;49;20;5;3;4;2;1;1;4;4;5;49
100101;24;miasto;stały;Przedszkole Samorządowe nr 4, os. 1 Maja 8, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1490;1949;1949;0;590;900;900;0;3;1;0;0;0;0;0;0;0;900;0;0;900;6;5;1;0;894;55;3;1;0;0;0;6;0;0;1;44;55;34;24;2;0;1;1;1;0;2;1;2;34;235;152;9;60;3;1;1;1;4;2;2;235;535;236;189;19;16;13;6;3;5;4;44;535;19;15;4;0;0;0;0;0;0;0;19;16;8;0;2;0;0;0;1;2;2;1;16
100101;25;miasto;stały;Miejska i Powiatowa Biblioteka Publiczna, ul. Kościuszki 9, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1148;1471;1471;0;513;635;635;0;0;1;0;0;0;0;0;0;0;635;0;0;635;6;3;3;0;629;56;5;4;4;1;1;0;0;1;0;40;56;28;17;0;1;4;0;2;0;0;0;4;28;143;91;10;39;1;0;0;0;0;0;2;143;364;140;133;20;19;15;2;1;0;6;28;364;17;11;2;0;3;0;0;0;0;1;17;21;9;2;0;2;4;2;0;0;2;0;21
100101;26;miasto;stały;Miejskie Centrum Kultury, Plac Narutowicza 1a, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;1138;1418;1418;0;523;615;615;0;0;0;0;0;0;0;0;0;0;615;0;0;615;6;4;2;0;609;51;3;0;0;0;2;2;1;0;1;42;51;34;18;0;2;5;1;2;3;1;1;1;34;171;98;6;54;1;0;2;2;2;2;4;171;311;143;97;7;7;15;9;3;3;3;24;311;13;7;1;0;0;1;1;0;1;2;13;29;8;3;2;3;2;3;0;1;7;0;29
100101;27;miasto;zakład leczniczy;Szpital Wojewódzki im. Jana Pawła II, Czapliniecka 123, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;760;657;657;0;659;101;101;0;0;0;0;0;0;0;0;0;0;101;0;0;101;2;1;1;0;99;2;1;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;1;22;11;1;9;0;1;0;0;0;0;0;22;68;28;15;3;2;3;3;0;1;2;11;68;0;0;0;0;0;0;0;0;0;0;0;6;1;0;1;1;0;2;0;1;0;0;6
100101;28;miasto;dom pomocy społecznej;Dom Pomocy Społecznej, Dąbrowskiego 2, 97-400 Bełchatów;m. Bełchatów;bełchatowski;łódzkie;92;69;69;0;53;39;39;0;0;0;0;0;0;0;0;0;0;39;0;0;39;1;1;0;0;38;2;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;33;4;5;3;3;14;3;0;0;0;1;33;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
100102;1;wieś;stały;Szkoła Podstawowa, Dobrzelów ul. Górna 7, 97-400 Bełchatów;gm. Bełchatów;bełchatowski;łódzkie;1480;1936;1936;0;516;964;964;0;1;3;0;0;0;0;0;0;0;964;0;0;964;5;1;4;0;959;71;11;1;0;1;0;7;1;0;0;50;71;49;20;7;0;9;1;1;1;0;1;9;49;169;98;12;46;4;0;1;1;2;3;2;169;606;155;170;12;133;50;8;2;5;5;66;606;16;7;6;1;2;0;0;0;0;0;16;48;21;5;1;1;6;6;3;1;3;1;48
